O	D	Flow
17	34	573
17	46	89
17	16	939
17	21	735
17	49	215
17	39	7
17	35	35
17	10	2633
17	18	3189
17	9	17
17	28	261
17	47	197
17	31	30
17	26	97
17	41	420
17	6	299
17	37	132
17	8	98
17	7	109
17	48	199
17	1	1718
17	20	486
17	30	110
17	11	54
17	27	81
17	33	32
17	36	30
17	13	224
17	25	285
17	2	672
17	42	356
17	3	110
17	44	64
17	19	245
17	40	37
17	32	948
17	14	17
17	23	1748
17	15	1216
17	22	64
17	29	25
17	4	700
17	12	101
17	5	16
17	43	117
17	24	130
34	17	267
34	46	84
34	16	4703
34	21	1115
34	49	168
34	39	16
34	35	28
34	10	634
34	18	315
34	9	538
34	28	812
34	47	420
34	31	282
34	26	251
34	41	206
34	6	38
34	38	106
34	37	312
34	8	217
34	7	562
34	48	303
34	1	94
34	20	280
34	30	249
34	11	188
34	27	977
34	33	98
34	36	227
34	13	458
34	25	494
34	2	366
34	45	74
34	42	339
34	3	507
34	44	1080
34	19	456
34	40	6
34	32	203
34	14	33
34	23	403
34	15	2602
34	22	953
34	29	28
34	4	581
34	12	1991
34	5	37
34	43	402
34	24	130
46	17	349
46	34	494
46	16	854
46	21	479
46	49	16
46	10	1076
46	18	631
46	9	164
46	28	394
46	47	422
46	31	136
46	26	500
46	41	131
46	6	549
46	37	260
46	8	73
46	7	250
46	48	206
46	1	231
46	20	2713
46	30	6
46	11	78
46	27	16
46	33	189
46	13	116
46	25	17
46	2	630
46	45	154
46	42	193
46	3	2832
46	44	144
46	19	493
46	32	459
46	23	1608
46	15	4776
46	22	297
46	4	332
46	12	316
46	5	95
46	43	97
46	24	130
16	17	67
16	34	1736
16	46	94
16	21	716
16	49	98
16	39	13
16	35	96
16	10	681
16	18	424
16	9	532
16	28	418
16	47	172
16	31	111
16	26	143
16	41	51
16	6	145
16	38	21
16	37	200
16	8	352
16	7	284
16	48	124
16	1	52
16	20	206
16	30	126
16	11	105
16	27	1284
16	33	32
16	36	243
16	13	190
16	25	639
16	2	444
16	45	26
16	42	222
16	3	211
16	44	1091
16	19	293
16	40	56
16	32	306
16	14	52
16	23	245
16	15	2183
16	22	456
16	29	34
16	4	537
16	12	1405
16	5	13
16	43	168
16	24	40
21	17	293
21	34	2023
21	46	571
21	16	3295
21	49	194
21	35	59
21	10	2766
21	18	614
21	9	264
21	28	563
21	47	824
21	31	853
21	26	669
21	41	288
21	6	421
21	38	147
21	37	205
21	8	206
21	7	586
21	48	457
21	1	49
21	20	1543
21	30	513
21	11	849
21	27	654
21	33	67
21	36	264
21	13	856
21	25	799
21	2	961
21	45	91
21	42	389
21	3	709
21	44	578
21	19	847
21	40	88
21	32	284
21	14	140
21	23	950
21	15	3779
21	22	734
21	29	114
21	4	800
21	12	1778
21	5	140
21	43	583
21	24	989
49	17	209
49	34	140
49	46	44
49	16	1782
49	21	419
49	39	136
49	35	73
49	10	5121
49	18	1560
49	9	533
49	28	535
49	47	202
49	31	6
49	26	90
49	41	91
49	6	163
49	38	485
49	37	529
49	8	3982
49	7	388
49	48	95
49	20	101
