O	D	Flow
17	34	350
17	46	431
17	16	528
17	21	409
17	49	42
17	39	38
17	35	94
17	10	2798
17	18	3703
17	9	14
17	28	533
17	47	275
17	31	106
17	26	202
17	41	307
17	6	1005
17	38	47
17	37	364
17	8	56
17	7	574
17	48	99
17	1	2151
17	20	374
17	30	55
17	11	65
17	27	257
17	33	42
17	36	172
17	13	86
17	25	264
17	2	797
17	42	322
17	3	155
17	44	185
17	19	179
17	32	488
17	14	28
17	23	2465
17	15	1689
17	22	183
17	29	25
17	4	896
17	12	102
17	5	65
17	43	63
17	24	6
34	17	156
34	46	145
34	16	5248
34	21	1678
34	49	109
34	39	50
34	35	46
34	10	604
34	18	684
34	9	733
34	28	912
34	47	515
34	31	421
34	26	298
34	41	163
34	6	82
34	38	133
34	37	347
34	8	238
34	7	523
34	48	454
34	1	170
34	20	566
34	30	125
34	11	475
34	27	1089
34	33	70
34	36	66
34	13	1718
34	25	473
34	2	563
34	45	59
34	42	469
34	3	654
34	44	1096
34	19	663
34	40	21
34	32	170
34	14	161
34	23	455
34	15	2497
34	22	1184
34	29	19
34	4	562
34	12	1183
34	5	48
34	43	401
34	24	346
46	17	540
46	34	490
46	16	1402
46	21	773
46	49	74
46	35	196
46	10	644
46	18	782
46	28	1498
46	47	194
46	31	241
46	26	888
46	41	331
46	6	1606
46	37	27
46	8	91
46	7	368
46	48	470
46	1	1010
46	20	2824
46	30	132
46	11	233
46	27	143
46	33	78
46	36	73
46	13	54
46	25	211
46	2	792
46	45	21
46	42	148
46	3	2631
46	44	145
46	19	830
46	32	253
46	14	84
46	23	1254
46	15	5770
46	29	37
46	4	567
46	12	348
46	43	176
46	24	56
16	17	124
16	34	1760
16	46	191
16	21	784
16	49	117
16	39	5
16	35	111
16	10	553
16	18	574
16	9	271
16	28	379
16	47	197
16	31	120
16	26	153
16	41	149
16	6	234
16	38	84
16	37	170
16	8	255
16	7	221
16	48	156
16	1	71
16	20	380
16	30	146
16	11	109
16	27	1433
16	33	40
16	36	144
16	13	249
16	25	585
16	2	420
16	45	35
16	42	323
16	3	427
16	44	963
16	19	299
16	40	33
16	32	203
16	14	40
16	23	305
16	15	2098
16	22	594
16	29	41
16	4	467
16	12	1161
16	5	26
16	43	135
16	24	85
21	17	194
21	34	2091
21	46	227
21	16	4686
21	49	229
21	39	95
21	35	96
21	10	2172
21	18	632
21	9	536
21	28	801
21	47	469
21	31	344
21	26	769
21	41	274
21	6	323
21	38	142
21	37	267
21	8	404
21	7	684
21	48	784
21	1	253
21	20	855
21	30	379
21	11	649
21	27	766
21	33	48
21	36	181
21	13	1044
21	25	760
21	2	633
21	45	270
21	42	485
21	3	1123
21	44	689
21	19	255
21	32	294
21	14	126
21	23	629
21	15	3680
21	22	1003
21	29	102
21	4	1323
21	12	1468
21	5	104
21	43	290
21	24	713
49	17	143
49	34	286
49	46	141
49	16	1936
49	21	913
49	39	150
49	35	401
49	10	3833
49	18	944
49	28	362
49	47	161
49	26	27
49	41	491
49	6	57
49	38	312
49	37	236
49	8	3067
49	7	739
49	48	66
49	1	64
49	20	329
49	30	35
49	11	108
49	27	105
49	33	1048
49	36	830
49	25	3261
49	2	1211
49	42	219
49	44	86
49	19	1386
49	40	669
49	32	715
49	23	222
49	15	853
49	22	74
49	29	393
