O	D	Flow
17	34	443
17	16	612
17	21	605
17	49	69
17	35	65
17	10	2128
17	18	3879
17	9	14
17	28	423
17	47	255
17	31	37
17	26	222
17	41	293
17	6	555
17	38	2
17	37	397
17	8	84
17	7	521
17	48	102
17	1	1465
17	20	207
17	30	4
17	11	60
17	27	101
17	33	25
17	36	176
17	13	13
17	25	341
17	2	676
17	42	272
17	3	212
17	44	145
17	19	149
17	40	57
17	32	355
17	14	17
17	23	1759
17	15	1739
17	22	118
17	29	5
17	4	1013
17	12	142
17	5	40
17	43	60
17	24	8
34	17	162
34	46	99
34	16	5513
34	21	1326
34	49	270
34	35	11
34	10	1138
34	18	522
34	9	439
34	28	843
34	47	466
34	31	145
34	26	238
34	41	159
34	6	34
34	38	76
34	37	228
34	8	377
34	7	508
34	48	510
34	1	170
34	20	567
34	30	137
34	11	238
34	27	591
34	33	54
34	36	147
34	13	836
34	25	549
34	2	668
34	45	197
34	42	421
34	3	482
34	44	1147
34	19	330
34	40	3
34	32	309
34	14	254
34	23	570
34	15	2898
34	22	792
34	29	20
34	4	530
34	12	1596
34	5	9
34	43	565
34	24	162
46	17	374
46	34	104
46	16	1245
46	21	417
46	10	532
46	18	569
46	9	236
46	28	535
46	47	126
46	31	231
46	26	889
46	41	114
46	6	512
46	37	68
46	8	96
46	7	888
46	48	321
46	1	574
46	20	2711
46	30	23
46	11	117
46	27	552
46	33	366
46	36	46
46	13	35
46	25	236
46	2	456
46	42	249
46	3	2940
46	44	205
46	19	666
46	32	665
46	23	1606
46	15	5691
46	22	388
46	29	3
46	4	266
46	12	705
46	5	22
46	43	50
46	24	11
16	17	128
16	34	1253
16	46	128
16	21	619
16	49	109
16	39	21
16	35	63
16	10	697
16	18	360
16	9	241
16	28	478
16	47	208
16	31	165
16	26	136
16	41	76
16	6	123
16	38	72
16	37	215
16	8	302
16	7	263
16	48	145
16	1	80
16	20	178
16	30	110
16	11	108
16	27	1251
16	33	42
16	36	173
16	13	148
16	25	615
16	2	374
16	45	53
16	42	238
16	3	208
16	44	820
16	19	189
16	40	59
16	32	255
16	14	34
16	23	208
16	15	1733
16	22	412
16	29	23
16	4	431
16	12	970
16	5	40
16	43	134
16	24	77
21	17	132
21	34	1579
21	46	295
21	16	3065
21	49	202
21	39	14
21	35	63
21	10	1443
21	18	1082
21	9	223
21	28	567
21	47	574
21	31	309
21	26	871
21	41	153
21	6	450
21	38	79
21	37	394
21	8	412
21	7	475
21	48	468
21	1	85
21	20	800
21	30	389
21	11	886
21	27	471
21	33	65
21	36	253
21	13	849
21	25	770
21	2	864
21	45	277
21	42	693
21	3	826
21	44	1143
21	19	386
21	32	487
21	14	320
21	23	297
21	15	3601
21	22	1338
21	29	142
21	4	768
21	12	1028
21	5	17
21	43	289
21	24	642
49	17	122
49	34	286
49	46	242
49	16	1431
49	21	239
49	39	167
49	35	444
49	10	2422
49	18	1345
49	9	18
49	28	507
49	47	135
49	31	34
49	26	64
49	41	80
49	6	31
49	38	712
49	37	311
49	8	2981
49	7	334
49	48	118
49	1	52
49	20	201
49	11	45
49	27	212
49	33	477
49	36	568
49	13	109
49	25	4003
49	2	1089
49	45	20
49	42	379
49	3	111
49	44	69
49	19	1505
49	40	763
49	32	882
49	23	64
49	15	592
49	22	105
49	29	424
49	4	1237
49	12	226
49	5	108
49	43	35
49	24	4
39	34	578
39	16	324
39	21	596
39	49	1442
39	35	363
39	10	2131
39	18	134
39	47	184
39	41	58
39	6	490
39	37	3730
39	8	47
39	7	81
39	48	219
39	1	168
39	11	14
39	27	83
39	36	2452
39	13	257
39	25	1263
39	2	1202
39	42	20
39	3	60
39	44	347
39	19	6862
39	40	364
39	32	338
39	23	116
39	15	735
39	22	250
39	29	51
39	4	1316
39	5	455
35	17	15
35	34	353
35	46	507
35	16	5876
35	21	119
35	49	564
35	39	448
35	10	2708
35	18	1635
35	9	126
35	28	1590
35	47	2022
35	41	312
35	6	604
35	37	32040
35	8	1298
35	7	1182
35	48	287
35	20	1280
35	30	18
35	11	75
35	27	132
35	33	139
35	36	1418
35	13	109
35	25	4712
35	2	3123
35	45	178
35	42	453
35	3	92
35	44	596
35	19	2460
35	32	640
35	14	39
35	23	1420
35	15	2205
35	29	259
35	4	14431
35	12	954
35	5	862
35	43	89
10	17	589
10	34	349
10	46	89
10	16	1327
10	21	483
10	49	295
10	39	52
10	35	66
10	18	1984
10	9	28
10	28	735
10	47	423
10	31	196
10	26	166
10	41	377
10	6	300
10	38	140
10	37	400
10	8	535
10	7	686
10	48	139
10	1	130
10	20	303
10	30	16
10	11	62
10	27	296
10	33	71
10	36	637
10	13	99
10	25	1620
10	2	1256
10	45	56
10	42	820
10	3	153
10	44	209
10	19	726
10	40	88
10	32	785
10	14	23
10	23	966
10	15	1668
10	22	160
10	29	32
10	4	1184
10	12	380
10	5	154
10	43	226
10	24	14
18	17	1791
18	34	265
18	46	287
18	16	1180
18	21	668
18	49	230
18	39	92
18	35	150
18	10	3548
18	9	40
18	28	619
18	47	446
18	31	36
18	26	444
18	41	569
18	6	433
18	38	69
18	37	617
18	8	332
18	7	720
18	48	296
18	1	374
18	20	333
18	30	32
18	11	98
18	27	57
18	33	51
18	36	299
18	13	124
18	25	919
18	2	2049
18	45	30
18	42	440
18	3	286
18	44	60
18	19	743
18	40	9
18	32	1589
18	14	19
18	23	1860
18	15	2004
18	22	263
18	29	13
18	4	1260
18	12	684
18	5	132
18	43	93
18	24	44
9	17	137
9	34	2211
9	46	155
9	16	3843
9	21	1577
9	10	956
9	18	289
9	28	258
9	47	129
9	31	169
9	26	175
9	41	350
9	38	92
9	37	108
9	8	207
9	7	210
9	48	240
9	1	291
9	20	476
9	30	1740
9	11	178
9	27	3223
9	13	42
9	25	120
