O	D	Flow
17	34	214
17	46	210
17	16	599
17	21	259
17	49	29
17	39	18
17	35	21
17	10	2740
17	18	4280
17	9	16
17	28	423
17	47	148
17	31	45
17	26	356
17	41	274
17	6	455
17	38	93
17	37	390
17	8	181
17	7	444
17	48	55
17	1	1104
17	20	296
17	30	16
17	11	54
17	27	334
17	36	209
17	13	43
17	25	251
17	2	1040
17	42	535
17	3	361
17	44	147
17	19	202
17	32	383
17	14	55
17	23	1416
17	15	1271
17	22	145
17	4	871
17	12	385
17	5	58
17	43	90
17	24	95
34	17	139
34	46	448
34	16	5911
34	21	1887
34	49	152
34	39	28
34	35	79
34	10	702
34	18	676
34	9	329
34	28	740
34	47	716
34	31	272
34	26	441
34	41	45
34	6	229
34	38	74
34	37	374
34	8	128
34	7	633
34	48	371
34	1	105
34	20	447
34	30	309
34	11	342
34	27	993
34	33	278
34	36	478
34	13	1355
34	25	396
34	2	466
34	45	28
34	42	490
34	3	566
34	44	521
34	19	353
34	40	21
34	32	118
34	14	163
34	23	211
34	15	2540
34	22	1416
34	29	31
34	4	668
34	12	1562
34	5	9
34	43	207
34	24	112
46	17	116
46	34	441
46	16	1541
46	21	330
46	35	11
46	10	1494
46	18	750
46	9	257
46	28	729
46	47	319
46	31	1132
46	26	641
46	41	300
46	6	1311
46	37	205
46	8	119
46	7	454
46	48	268
46	1	833
46	20	2326
46	30	402
46	11	18
46	27	91
46	36	90
46	13	170
46	25	49
46	2	448
46	45	53
46	42	142
46	3	2663
46	44	154
46	19	105
46	40	79
46	32	294
46	14	7
46	23	1744
46	15	4565
46	22	154
46	4	352
46	12	284
46	43	469
46	24	190
16	17	132
16	34	1367
16	46	172
16	21	774
16	49	79
16	39	34
16	35	45
16	10	488
16	18	381
16	9	281
16	28	555
16	47	213
16	31	80
16	26	163
16	41	96
16	6	177
16	38	56
16	37	168
16	8	364
16	7	144
16	48	157
16	1	72
16	20	221
16	30	152
16	11	121
16	27	1145
16	33	41
16	36	129
16	13	249
16	25	491
16	2	441
16	45	26
16	42	185
16	3	218
16	44	897
16	19	251
16	40	39
16	32	111
16	14	28
16	23	241
16	15	1982
16	22	498
16	29	28
16	4	387
16	12	1100
16	5	25
16	43	123
16	24	45
21	17	191
21	34	1950
21	46	195
21	16	3764
21	49	224
21	39	79
21	35	71
21	10	1686
21	18	539
21	9	147
21	28	942
21	47	549
21	31	286
21	26	1332
21	41	172
21	6	450
21	38	198
21	37	241
21	8	394
21	7	403
21	48	573
21	1	71
21	20	883
21	30	404
21	11	720
21	27	319
21	33	55
21	36	123
21	13	1208
21	25	749
21	2	1312
21	45	58
21	42	627
21	3	770
21	44	604
21	19	373
21	40	63
21	32	206
21	14	447
21	23	443
21	15	3491
21	22	1069
21	29	143
21	4	598
21	12	1507
21	5	107
21	43	540
21	24	1018
49	17	120
49	34	336
49	16	1271
49	21	232
49	39	139
49	35	256
49	10	3089
49	18	588
49	9	65
49	28	392
49	47	270
49	31	157
49	26	103
49	41	81
49	6	161
49	38	577
49	37	631
49	8	3116
49	7	592
49	48	228
49	1	29
49	20	37
49	30	35
49	27	143
49	33	790
49	36	1102
49	13	22
49	25	4303
49	2	1167
49	45	28
49	42	739
49	3	111
49	44	13
49	19	1476
49	40	734
49	32	467
49	14	30
49	23	279
49	15	932
49	22	167
49	29	290
49	4	1384
49	12	268
49	5	13
49	43	37
49	24	9
39	17	1809
39	34	570
39	16	443
39	21	216
39	49	52
39	35	1090
39	10	1867
39	18	486
39	28	242
39	31	190
39	41	277
39	6	634
39	37	6986
39	8	275
39	7	60
39	1	6
39	20	1111
39	11	47
39	27	80
39	33	80
39	36	1647
39	13	84
39	25	889
39	2	2451
39	42	578
39	44	232
39	19	9218
39	40	73
39	32	586
39	23	208
39	15	822
39	4	1218
39	5	395
35	34	388
35	16	3981
35	21	100
35	49	441
35	39	277
35	10	3469
35	18	3714
35	28	1873
35	47	470
35	31	99
35	41	178
35	6	746
35	38	335
35	37	38878
35	8	1994
35	7	1346
35	48	1088
35	20	155
35	30	59
35	11	472
35	27	198
35	33	512
35	36	556
35	13	522
35	25	8077
35	2	3235
35	42	1272
35	44	292
35	19	1906
35	32	1744
35	14	560
35	23	109
35	15	2043
35	22	117
35	4	13751
35	12	794
35	5	1259
10	17	1067
10	34	544
10	46	209
10	16	1222
10	21	555
10	49	242
10	39	107
10	35	87
10	18	2648
10	9	55
10	28	766
10	47	487
10	31	131
10	26	193
10	41	585
10	6	288
10	38	173
10	37	461
10	8	778
10	7	751
10	48	215
10	1	228
10	20	378
10	30	20
10	11	126
10	27	271
10	33	236
10	36	509
10	13	188
10	25	1802
10	2	2267
10	45	28
10	42	838
10	3	287
10	44	242
10	19	975
10	40	71
10	32	882
10	14	12
10	23	1252
10	15	2163
10	22	178
10	29	54
10	4	1237
10	12	428
10	5	74
10	43	221
10	24	59
18	17	2267
18	34	351
18	46	111
18	16	854
18	21	459
18	49	293
18	39	104
18	35	73
18	10	4848
18	9	147
18	28	663
18	47	441
18	31	124
18	26	140
18	41	374
18	6	515
18	38	56
18	37	509
18	8	278
18	7	212
18	48	105
18	1	395
18	20	543
18	30	80
18	11	79
18	27	240
18	33	71
18	36	402
18	13	126
