O	D	Flow
17	34	81
17	46	92
17	16	603
17	21	370
17	49	410
17	39	76
17	35	42
17	10	1918
17	18	3824
17	9	15
17	28	409
17	47	570
17	31	54
17	26	276
17	41	397
17	6	431
17	38	3
17	37	233
17	8	86
17	7	696
17	48	109
17	1	1347
17	20	559
17	11	12
17	27	96
17	33	72
17	36	52
17	13	505
17	25	548
17	2	1066
17	45	65
17	42	486
17	3	274
17	44	246
17	19	147
17	32	511
17	14	37
17	23	1980
17	15	1784
17	22	70
17	29	13
17	4	603
17	12	246
17	5	206
17	43	119
34	17	184
34	46	213
34	16	5312
34	21	1463
34	49	98
34	39	77
34	35	4
34	10	952
34	18	272
34	9	737
34	28	817
34	47	591
34	31	334
34	26	419
34	41	314
34	6	263
34	38	101
34	37	487
34	8	212
34	7	487
34	48	401
34	1	37
34	20	510
34	30	278
34	11	307
34	27	1198
34	33	32
34	36	198
34	13	1467
34	25	639
34	2	470
34	45	121
34	42	600
34	3	686
34	44	754
34	19	389
34	40	69
34	32	215
34	14	56
34	23	568
34	15	3318
34	22	1608
34	29	7
34	4	881
34	12	1483
34	5	145
34	43	362
34	24	118
46	17	127
46	34	622
46	16	1211
46	21	842
46	49	4
46	35	36
46	10	756
46	18	588
46	9	200
46	28	705
46	47	298
46	31	201
46	26	442
46	41	232
46	6	659
46	37	108
46	8	125
46	7	186
46	48	203
46	1	1311
46	20	1983
46	30	45
46	11	95
46	27	245
46	33	89
46	13	99
46	25	259
46	2	520
46	45	1
46	42	318
46	3	2625
46	44	156
46	19	273
46	32	189
46	14	19
46	23	2003
46	15	3715
46	22	31
46	29	15
46	4	206
46	12	242
46	5	109
46	43	124
46	24	102
16	17	119
16	34	1257
16	46	129
16	21	568
16	49	135
16	39	15
16	35	79
16	10	595
16	18	454
16	9	270
16	28	343
16	47	155
16	31	94
16	26	181
16	41	79
16	6	67
16	38	35
16	37	177
16	8	321
16	7	180
16	48	117
16	1	63
16	20	201
16	30	66
16	11	114
16	27	1065
16	33	32
16	36	164
16	13	226
16	25	614
16	2	349
16	45	36
16	42	208
16	3	248
16	44	859
16	19	266
16	40	54
16	32	141
16	14	64
16	23	202
16	15	1641
16	22	418
16	29	21
16	4	459
16	12	1143
16	5	4
16	43	116
16	24	42
21	17	235
21	34	1552
21	46	494
21	16	3328
21	49	359
21	39	35
21	35	100
21	10	2039
21	18	776
21	9	264
21	28	930
21	47	574
21	31	533
21	26	838
21	41	222
21	6	99
21	38	107
21	37	254
21	8	419
21	7	318
21	48	480
21	1	114
21	20	545
21	30	389
21	11	474
21	27	454
21	33	103
21	36	103
21	13	647
21	25	603
21	2	590
21	45	92
21	42	354
21	3	868
21	44	585
21	19	640
21	32	288
21	14	198
21	23	342
21	15	3912
21	22	1382
21	29	158
21	4	734
21	12	985
21	5	151
21	43	554
21	24	918
49	17	36
49	34	396
49	46	42
49	16	1370
49	21	375
49	39	226
49	35	80
49	10	2806
49	18	934
49	9	132
49	28	263
49	47	111
49	31	295
49	41	53
49	6	9
49	38	389
49	37	808
49	8	3104
49	7	180
49	48	237
49	1	206
49	20	223
49	30	10
49	11	80
49	27	107
49	33	590
49	36	1213
49	13	11
49	25	3498
49	2	1304
49	45	23
49	42	325
49	44	219
49	19	1271
49	40	852
49	32	824
49	14	3
49	23	132
49	15	640
49	22	32
49	29	378
49	4	1489
49	12	316
49	43	159
39	17	235
39	34	145
39	16	503
39	21	281
39	49	454
39	35	634
39	10	3287
39	18	740
39	28	832
39	47	96
39	31	94
39	41	152
39	6	193
39	38	54
39	37	4374
39	8	72
39	7	364
39	1	98
39	20	91
39	11	87
39	36	2993
39	13	54
39	25	992
39	2	2100
39	42	664
39	3	47
39	19	6452
39	40	68
39	32	1117
39	23	391
39	15	2107
39	22	555
39	4	1373
39	12	123
39	5	222
39	43	73
35	17	163
35	34	1470
35	16	3223
35	21	1746
35	49	394
35	39	135
35	10	2551
35	18	1075
35	28	2050
35	47	295
35	31	508
35	26	122
35	41	292
35	6	272
35	37	35010
35	8	2851
35	7	92
35	48	228
35	1	72
35	20	655
35	11	114
35	27	275
35	36	1420
35	13	604
35	25	5903
35	2	2732
35	42	360
35	3	143
35	44	467
35	19	3557
35	40	176
35	32	545
35	23	1026
35	15	2144
35	22	419
35	29	251
35	4	13267
35	12	408
35	5	376
10	17	838
10	34	261
10	46	173
10	16	995
10	21	375
10	49	333
10	39	48
10	35	120
10	18	2290
10	9	113
10	28	927
10	47	415
10	31	74
10	26	201
10	41	405
10	6	484
10	38	94
10	37	591
10	8	727
10	7	653
10	48	165
10	1	286
10	20	360
10	30	120
10	11	215
10	27	288
10	33	97
10	36	739
10	13	101
10	25	1638
10	2	1297
10	45	51
10	42	723
10	3	217
10	44	180
10	19	815
10	40	110
10	32	628
10	14	52
10	23	754
10	15	2024
10	22	137
10	29	42
10	4	972
10	12	359
10	5	245
10	43	238
10	24	45
18	17	2150
18	34	625
18	46	112
18	16	1113
18	21	463
18	49	228
18	39	82
18	35	92
18	10	3483
18	9	34
18	28	658
18	47	282
18	31	167
18	26	305
18	41	497
18	6	514
18	38	71
18	37	585
18	8	201
18	7	294
18	48	236
18	1	533
18	20	361
18	30	61
18	11	105
18	27	145
18	33	37
18	36	510
18	13	138
18	25	841
18	2	1494
18	45	40
18	42	491
18	3	348
18	44	37
18	19	560
18	40	73
18	32	1819
18	14	2
18	23	1570
18	15	1996
18	22	153
18	29	11
18	4	1100
18	12	519
18	5	143
18	43	144
18	24	40
9	17	682
9	34	1742
9	46	317
9	16	4740
9	21	920
9	10	367
9	18	320
9	28	458
9	47	755
9	31	199
9	26	246
9	41	82
9	6	683
9	37	647
9	8	94
9	7	159
9	48	26
9	20	197
9	30	1028
9	11	112
9	27	1941
9	36	217
9	13	127
9	25	386
9	2	75
9	45	163
9	42	612
9	3	120
9	44	3686
9	19	479
9	40	55
9	32	312
9	14	100
9	23	564
9	15	1466
9	22	5038
9	29	16
9	4	779
9	12	5174
9	5	337
9	43	415
9	24	790
28	17	247
28	34	1021
28	46	292
28	16	1278
28	21	442
28	49	117
28	39	56
28	35	106
28	10	1439
28	18	745
28	9	27
28	47	2194
28	31	933
28	26	205
28	41	354
28	6	107
28	38	32
28	37	212
28	8	492
28	7	882
28	48	431
28	1	321
28	20	1654
28	30	68
28	11	114
28	27	190
28	33	41
28	36	195
28	13	140
28	25	543
28	2	366
28	45	44
28	42	535
28	3	180
28	44	117
28	19	290
28	40	4
28	32	194
28	14	76
28	23	346
28	15	1803
28	22	105
28	29	24
28	4	498
28	12	303
28	5	46
28	43	1646
28	24	13
47	17	607
47	34	769
47	46	159
47	16	987
47	21	866
47	49	89
47	39	9
47	10	2250
47	18	1086
47	9	17
47	28	3030
47	31	345
47	26	409
47	41	1658
47	6	183
47	37	195
47	8	278
47	7	1009
47	48	185
47	1	79
47	20	455
47	30	46
47	11	30
47	27	144
47	33	49
47	36	83
47	13	220
47	25	395
47	2	450
47	45	27
47	42	1572
47	3	120
47	44	46
47	19	272
47	32	250
47	23	959
47	15	1403
47	22	80
47	29	8
47	4	374
47	12	271
47	5	178
47	43	379
47	24	25
31	17	150
31	34	1055
31	46	95
31	16	1172
31	21	934
31	35	10
31	10	658
31	18	386
31	9	112
31	28	3641
31	47	319
31	26	714
31	41	266
31	6	58
31	38	19
31	37	86
31	7	234
31	48	1880
31	1	37
31	20	1797
31	30	11
31	11	2320
31	27	160
31	36	41
31	13	212
31	25	277
31	2	479
31	45	168
31	42	243
31	3	776
31	44	159
31	19	114
31	32	106
31	14	832
31	23	297
31	15	778
31	22	315
31	29	65
31	4	327
31	12	522
31	43	864
31	24	30
26	17	159
26	34	861
26	46	971
26	16	1673
26	21	1376
26	49	268
26	39	16
26	35	33
26	10	1056
26	18	515
26	9	205
26	28	812
26	47	248
26	31	808
26	41	582
26	6	360
26	37	496
26	8	73
26	7	293
26	48	326
26	1	231
26	20	6562
26	11	1673
26	27	121
26	33	23
26	36	21
26	13	81
26	25	234
26	2	1043
26	45	39
26	42	532
26	3	1992
26	44	406
26	19	470
26	32	90
26	14	134
26	23	530
26	15	3751
26	22	283
26	4	779
26	12	252
26	43	523
26	24	153
41	17	405
41	34	190
41	46	387
41	16	459
41	21	113
41	49	108
41	35	26
41	10	1540
41	18	1645
41	9	17
41	28	878
41	47	1961
41	31	257
41	26	177
41	6	170
41	37	367
41	8	100
41	7	495
41	48	129
41	1	188
41	20	772
41	30	39
41	11	57
41	27	147
41	36	13
41	13	28
41	25	416
41	2	1331
41	45	75
41	42	2412
41	3	329
41	44	446
41	19	522
41	40	30
41	32	508
41	14	6
41	23	2270
41	15	930
41	22	104
41	29	8
41	4	519
41	12	182
41	5	667
41	43	80
6	17	918
6	34	383
6	46	1079
6	16	697
6	21	264
6	49	25
6	39	19
6	10	1070
6	18	823
6	9	44
6	28	387
6	47	218
6	31	254
6	26	355
6	41	162
6	38	114
6	37	139
6	8	14
6	7	261
6	1	1572
6	20	335
6	30	31
6	11	25
6	27	63
6	33	12
6	36	38
6	13	9
6	25	335
6	2	420
6	45	18
6	42	197
6	3	368
6	44	282
6	19	189
6	40	14
6	32	467
6	14	3
6	23	989
6	15	5817
6	22	13
6	29	84
6	4	458
6	12	213
6	43	113
6	24	71
38	17	534
38	34	607
38	46	319
38	16	915
38	21	481
38	49	176
38	39	54
38	35	293
38	10	3566
38	18	205
38	9	269
38	28	314
38	47	155
38	31	234
38	26	3
38	41	110
38	6	219
38	37	924
38	8	3184
38	7	28
38	48	26
38	1	95
38	20	383
38	30	15
38	33	1349
38	36	442
38	13	47
38	25	1172
38	2	1007
38	42	324
38	3	30
38	44	222
38	19	751
38	40	301
38	32	364
38	14	176
38	23	607
38	15	563
38	22	117
38	29	750
38	4	2177
38	12	345
38	5	40
38	43	17
37	17	467
37	34	218
37	46	112
37	16	2056
37	21	336
37	49	483
37	39	789
37	35	1720
37	10	1174
37	18	1464
37	9	54
37	28	291
37	47	133
37	31	33
37	26	137
37	41	219
37	6	202
37	38	41
37	8	515
37	7	287
37	48	129
37	1	74
37	20	171
37	30	31
37	11	61
37	27	56
37	33	77
37	36	533
37	13	115
37	25	1206
37	2	1653
37	45	50
37	42	565
37	3	306
37	44	32
37	19	3252
37	40	130
37	32	292
37	23	328
37	15	1554
37	22	91
37	29	21
37	4	4530
37	12	419
37	5	711
37	43	115
8	17	15
8	34	268
8	46	34
8	16	1548
8	21	387
8	49	1239
8	39	275
8	35	165
8	10	1967
8	18	689
8	9	27
8	28	535
8	47	69
8	31	29
8	26	107
8	41	199
8	6	43
8	38	535
8	37	501
8	7	215
8	48	38
8	1	48
8	20	109
8	30	36
8	11	47
8	27	29
8	33	2281
8	36	606
8	13	125
8	25	2625
8	2	863
8	42	511
8	3	79
8	44	201
8	19	810
8	40	1057
8	32	290
8	14	7
8	23	130
8	15	633
8	22	185
8	29	295
8	4	764
8	12	268
8	5	18
8	43	42
8	24	18
7	17	401
7	34	1105
7	46	192
7	16	1087
7	21	575
7	49	62
7	39	26
7	35	26
7	10	1968
7	18	928
7	9	33
7	28	1184
7	47	1253
7	31	121
7	26	276
7	41	481
7	6	139
7	37	427
7	8	356
7	48	189
7	1	226
7	20	233
7	30	30
7	11	148
7	27	254
7	33	21
7	36	80
7	13	69
7	25	755
7	2	962
7	45	64
7	42	1544
7	3	90
7	44	164
7	19	448
7	40	18
7	32	339
7	14	51
7	23	707
7	15	1259
7	22	91
7	29	10
7	4	731
7	12	488
7	5	211
7	43	552
7	24	164
48	17	116
48	34	1160
48	46	212
48	16	1341
48	21	846
48	49	2
48	35	36
48	10	946
48	18	381
48	9	73
48	28	896
48	47	163
48	31	1031
48	26	334
48	41	146
48	6	59
48	38	49
48	37	170
48	8	254
48	7	233
48	1	45
48	20	334
48	30	78
48	11	330
48	27	350
48	36	135
48	13	97
48	25	361
48	2	205
48	45	2554
48	42	520
48	3	105
48	44	265
48	19	189
48	40	31
48	32	119
48	14	1025
48	23	167
48	15	1332
48	22	228
48	29	9
48	4	193
48	12	380
48	5	15
48	43	3189
48	24	67
1	17	2673
1	34	130
1	46	1029
1	16	846
1	21	318
1	49	87
1	10	1580
1	18	1651
1	9	9
1	28	306
1	47	100
1	31	214
1	26	215
1	41	365
1	6	3491
1	38	6
1	37	493
1	8	55
1	7	502
1	48	90
1	20	544
1	30	132
1	11	140
1	27	190
1	33	62
1	36	99
1	13	146
1	25	69
1	2	1004
1	45	38
1	42	295
1	3	446
1	44	31
1	19	430
1	40	83
1	32	272
1	14	33
1	23	2940
1	15	2130
1	22	64
1	4	514
1	12	454
1	5	300
1	43	265
20	17	178
20	34	601
20	46	1276
20	16	1442
20	21	681
20	49	32
20	35	17
20	10	1136
20	18	480
20	9	46
20	28	1730
20	47	396
20	31	431
20	26	4053
20	41	429
20	6	162
20	38	19
20	37	400
20	8	268
20	7	406
20	48	164
20	1	205
20	30	44
20	11	495
20	27	198
20	33	21
20	36	52
20	13	323
20	25	371
20	2	657
20	45	10
20	42	424
20	3	918
20	44	66
20	19	186
20	32	280
20	14	35
20	23	541
20	15	2158
20	22	187
20	29	25
20	4	232
20	12	648
20	5	72
20	43	233
20	24	280
30	17	460
30	34	1159
30	16	2121
30	21	1295
30	49	75
30	35	66
30	10	835
30	18	655
30	9	1729
30	28	100
30	47	26
30	31	314
30	26	235
30	41	241
30	6	92
30	8	290
30	7	92
30	48	667
30	20	305
30	11	230
30	27	348
30	33	456
30	13	770
30	25	897
30	2	50
30	45	1704
30	42	241
30	3	139
30	44	2183
30	19	90
30	40	65
30	32	185
30	14	1772
30	15	1358
30	22	1697
30	4	528
30	12	3078
30	43	177
30	24	1674
11	34	1762
11	46	108
11	16	1311
11	21	2250
11	39	32
11	35	31
11	10	683
11	18	270
11	9	96
11	28	95
11	47	327
11	31	4033
11	26	1586
11	41	89
11	6	53
11	37	30
11	7	285
11	48	812
11	20	1031
11	30	16
11	27	148
11	36	74
11	13	510
11	25	172
11	2	124
11	45	54
11	42	262
11	3	238
11	44	333
11	19	129
11	40	7
11	32	194
11	14	1094
11	23	547
11	15	1833
11	22	643
11	29	31
11	4	1012
11	12	194
11	5	92
11	43	171
11	24	1017
