O	D	Flow
17	34	173
17	46	143
17	16	434
17	21	487
17	49	21
17	39	16
17	35	2
17	10	2632
17	18	3917
17	9	54
17	28	588
17	47	325
17	31	43
17	26	90
17	41	192
17	6	638
17	38	132
17	37	47
17	8	250
17	7	734
17	48	25
17	1	1859
17	20	290
17	30	93
17	11	35
17	27	58
17	33	40
17	36	39
17	13	85
17	25	377
17	2	1129
17	45	20
17	42	326
17	3	123
17	44	157
17	19	277
17	32	624
17	23	1943
17	15	1822
17	22	101
17	4	1027
17	12	379
17	5	46
17	43	147
17	24	10
34	17	259
34	46	67
34	16	5507
34	21	1906
34	49	214
34	39	83
34	35	6
34	10	1305
34	18	663
34	9	547
34	28	1182
34	47	614
34	31	217
34	26	313
34	41	280
34	6	310
34	38	50
34	37	145
34	8	157
34	7	593
34	48	357
34	1	85
34	20	363
34	30	304
34	11	254
34	27	1566
34	33	38
34	36	584
34	13	1150
34	25	435
34	2	662
34	45	202
34	42	1044
34	3	582
34	44	1222
34	19	351
34	40	33
34	32	304
34	14	219
34	23	207
34	15	3101
34	22	1017
34	29	47
34	4	722
34	12	1915
34	5	7
34	43	624
34	24	57
46	17	558
46	34	362
46	16	900
46	21	549
46	49	28
46	35	27
46	10	1028
46	18	718
46	9	76
46	28	1083
46	47	685
46	31	147
46	26	339
46	41	359
46	6	943
46	38	12
46	37	143
46	8	56
46	7	698
46	48	323
46	1	787
46	20	2097
46	30	16
46	11	54
46	27	105
46	33	7
46	36	19
46	13	231
46	25	354
46	2	111
46	45	84
46	42	663
46	3	2344
46	44	335
46	19	197
46	32	453
46	14	224
46	23	2514
46	15	5597
46	22	143
46	4	219
46	12	257
46	5	76
46	43	113
46	24	59
16	17	90
16	34	1318
16	46	108
16	21	617
16	49	98
16	39	18
16	35	100
16	10	595
16	18	397
16	9	239
16	28	370
16	47	203
16	31	87
16	26	126
16	41	56
16	6	105
16	38	22
16	37	228
16	8	307
16	7	207
16	48	176
16	1	125
16	20	222
