O	D	Flow
17	34	86
17	46	293
17	16	702
17	21	199
17	49	187
17	39	26
17	35	75
17	10	3307
17	18	2892
17	9	78
17	28	291
17	47	313
17	31	68
17	26	9
17	41	451
17	6	1199
17	38	84
17	37	342
17	8	121
17	7	502
17	48	55
17	1	1735
17	20	171
17	30	44
17	11	48
17	27	31
17	33	31
17	36	128
17	13	156
17	25	273
17	2	636
17	45	22
17	42	269
17	3	336
17	44	83
17	19	77
17	40	28
17	32	363
17	14	67
17	23	1859
17	15	1804
17	22	19
17	4	558
17	12	276
17	5	8
17	43	115
17	24	35
34	17	105
34	46	121
34	16	5283
34	21	1917
34	49	103
34	39	9
34	35	103
34	10	609
34	18	398
34	9	481
34	28	924
34	47	344
34	31	231
34	26	349
34	41	405
34	6	305
34	38	39
34	37	175
34	8	245
34	7	498
34	48	650
34	1	29
34	20	466
34	30	297
34	11	362
34	27	1220
34	33	84
34	36	253
34	13	954
34	25	413
34	2	444
34	45	103
34	42	735
34	3	430
34	44	821
34	19	572
34	40	50
34	32	227
34	14	116
34	23	357
34	15	2578
34	22	1271
34	29	10
34	4	594
34	12	931
34	43	289
34	24	235
46	17	506
46	34	235
46	16	1427
46	21	353
46	49	114
46	35	53
46	10	1235
46	18	204
46	9	15
46	28	408
46	47	529
46	31	84
46	26	546
46	41	190
46	6	815
46	38	22
46	37	93
46	8	70
46	7	217
46	48	95
46	1	1690
46	20	1499
46	30	229
46	11	230
46	27	181
46	36	88
46	13	26
46	25	123
46	2	188
46	45	57
46	42	148
46	3	2009
46	44	84
46	19	276
46	32	124
46	14	20
46	23	1620
46	15	5219
46	22	108
46	4	421
46	12	225
46	43	177
16	17	102
16	34	1263
16	46	119
16	21	699
16	49	120
16	39	9
16	35	112
16	10	592
16	18	238
16	9	239
16	28	434
16	47	240
16	31	76
16	26	164
16	41	101
16	6	154
16	38	28
16	37	219
16	8	401
16	7	180
16	48	167
16	1	80
16	20	263
16	30	154
16	11	118
16	27	950
16	33	45
16	36	235
16	13	175
16	25	674
16	2	447
16	45	37
16	42	241
16	3	252
16	44	916
16	19	323
16	40	45
16	32	125
16	14	35
16	23	214
16	15	1847
16	22	326
16	29	26
16	4	457
16	12	1057
16	5	20
16	43	120
16	24	74
21	17	253
21	34	1522
21	46	502
21	16	3103
21	49	108
21	39	35
21	35	129
21	10	1273
21	18	638
21	9	271
21	28	762
21	47	269
21	31	506
21	26	1193
21	41	65
21	6	240
21	38	94
21	37	495
21	8	208
21	7	402
21	48	499
21	1	231
21	20	377
21	30	432
21	11	828
21	27	581
21	33	47
21	36	159
21	13	565
21	25	621
21	2	364
21	45	172
21	42	566
21	3	630
21	44	406
21	19	724
21	40	11
21	32	369
21	14	159
21	23	368
21	15	3241
21	22	789
21	29	64
21	4	639
21	12	967
21	5	120
21	43	374
21	24	869
49	17	126
49	34	133
49	46	126
49	16	1293
49	21	128
49	39	199
49	35	258
49	10	3124
49	18	731
49	28	632
49	47	151
49	31	31
49	26	23
49	41	195
49	6	24
49	38	380
49	37	447
49	8	3707
49	7	77
49	48	58
49	1	19
49	20	67
49	30	35
49	11	100
49	27	181
49	33	875
49	36	699
49	13	6
49	25	4285
49	2	1048
49	45	8
49	42	365
49	3	18
49	44	75
49	19	1119
49	40	1142
49	32	1117
49	23	213
49	15	258
49	22	33
49	29	359
49	4	689
49	12	179
49	5	23
49	43	100
39	17	901
39	34	820
39	16	714
39	21	540
39	49	165
39	10	3444
39	18	930
39	28	62
39	26	264
39	41	42
39	38	193
39	37	9270
39	8	145
39	7	185
39	48	195
39	20	349
39	30	78
39	11	196
39	36	1715
39	13	434
39	25	2893
39	2	532
39	42	16
39	3	121
39	19	5122
39	32	276
39	23	275
39	15	782
39	29	96
39	4	1406
39	12	224
39	5	618
39	43	390
35	17	348
35	46	254
35	16	6085
35	21	791
35	49	546
35	39	713
35	10	1834
35	18	2822
35	9	237
35	28	1729
35	47	299
35	31	87
35	41	242
35	6	436
35	38	90
35	37	38336
35	8	2542
35	7	778
35	48	505
35	20	789
35	33	492
35	36	712
35	13	92
35	25	3276
35	2	2793
35	45	289
35	42	1606
35	44	358
35	19	2678
35	40	241
35	32	62
35	23	650
35	15	760
35	22	228
35	29	14
35	4	17502
35	12	401
35	5	793
35	43	161
10	17	799
10	34	409
10	46	189
10	16	1080
10	21	469
10	49	488
10	39	125
10	35	58
10	18	2647
10	9	32
10	28	427
10	47	291
10	31	72
10	26	151
10	41	536
10	6	498
10	38	160
10	37	348
10	8	589
10	7	617
10	48	136
10	1	255
10	20	441
10	30	72
10	11	94
10	27	189
10	33	88
10	36	522
10	13	172
10	25	1621
10	2	1537
10	45	26
10	42	875
10	3	288
10	44	120
10	19	966
10	40	70
10	32	852
10	14	13
10	23	751
10	15	1415
10	22	111
10	29	109
10	4	963
10	12	285
10	5	97
10	43	238
10	24	21
18	17	2228
18	34	438
18	46	403
18	16	908
18	21	663
18	49	77
18	39	60
