O	D	Flow
17	34	276
17	46	77
17	16	521
17	21	645
17	49	9
17	39	24
17	35	16
17	10	3862
17	18	2878
17	9	119
17	28	183
17	47	337
17	31	104
17	26	177
17	41	859
17	6	483
17	38	26
17	37	261
17	8	132
17	7	486
17	48	269
17	1	1067
17	20	276
17	30	6
17	11	50
17	27	158
17	36	161
17	13	163
17	25	283
17	2	898
17	45	17
17	42	769
17	3	213
17	44	77
17	19	399
17	40	4
17	32	345
17	23	2515
17	15	2075
17	22	26
17	29	3
17	4	522
17	12	312
17	5	99
17	43	67
17	24	53
34	17	146
34	46	255
34	16	5936
34	21	1615
34	49	483
34	39	28
34	35	137
34	10	987
34	18	1015
34	9	369
34	28	1089
34	47	421
34	31	242
34	26	472
34	41	168
34	6	308
34	38	35
34	37	115
34	8	300
34	7	1093
34	48	467
34	1	108
34	20	350
34	30	236
34	11	367
34	27	1334
34	33	67
34	36	202
34	13	974
34	25	632
34	2	532
34	45	239
34	42	751
34	3	453
34	44	1213
34	19	538
34	40	14
34	32	338
34	14	66
34	23	343
34	15	2884
34	22	1215
34	29	19
34	4	369
34	12	1275
34	5	12
34	43	496
34	24	307
46	17	223
46	34	411
46	16	1176
46	21	353
46	49	67
46	35	11
46	10	1124
46	18	352
46	9	98
46	28	537
46	47	191
46	31	152
46	26	730
46	41	175
46	6	1234
46	37	46
46	8	133
46	7	306
46	48	127
46	1	907
46	20	3195
46	30	21
46	11	122
46	27	119
46	36	19
46	13	138
46	25	83
46	2	291
46	42	299
46	3	1956
46	44	55
46	19	194
46	32	284
46	14	76
46	23	1119
46	15	4668
46	22	122
46	4	150
46	12	478
46	43	85
46	24	82
16	17	81
16	34	1182
16	46	92
16	21	583
16	49	83
16	39	58
16	35	131
16	10	537
16	18	373
16	9	270
16	28	393
16	47	158
16	31	86
16	26	142
16	41	89
16	6	135
16	38	42
16	37	226
16	8	336
16	7	213
16	48	213
16	1	115
16	20	282
16	30	143
16	11	90
16	27	1316
16	33	39
16	36	114
16	13	119
16	25	648
16	2	365
16	45	26
16	42	237
16	3	235
16	44	839
16	19	204
16	40	56
16	32	157
16	14	39
16	23	221
16	15	1652
16	22	402
16	29	29
16	4	389
16	12	1201
16	5	32
16	43	140
16	24	53
21	17	266
21	34	2655
21	46	116
21	16	2917
21	49	70
21	35	130
21	10	1688
21	18	907
21	9	228
21	28	584
21	47	235
21	31	626
21	26	721
21	41	137
21	6	275
21	38	60
21	37	206
21	8	188
21	7	455
21	48	686
21	1	153
21	20	731
21	30	411
21	11	389
21	27	1232
21	33	110
21	36	73
21	13	920
21	25	692
21	2	922
21	45	105
21	42	612
21	3	908
21	44	861
21	19	495
21	40	63
21	32	368
21	14	335
21	23	476
21	15	3199
21	22	1030
21	29	73
21	4	1030
21	12	1000
21	5	20
21	43	308
21	24	1078
49	17	79
49	34	116
49	46	51
49	16	1881
49	21	366
49	39	414
49	35	171
49	10	2496
49	18	508
49	9	12
49	28	265
49	47	228
49	31	31
49	26	58
49	41	68
49	6	45
49	38	408
49	37	245
49	8	2928
49	7	222
49	48	193
49	1	29
49	20	114
49	27	39
49	33	374
49	36	964
49	13	77
49	25	4060
49	2	1367
49	45	18
49	42	376
49	44	105
49	19	921
49	40	1160
49	32	442
49	23	260
49	15	770
49	22	39
49	29	452
49	4	758
49	12	807
49	5	39
49	43	182
39	17	45
39	34	268
39	16	517
39	21	76
39	49	24
39	35	85
39	10	1200
39	18	246
39	9	131
39	28	255
39	47	698
39	41	771
39	38	255
39	37	4479
39	8	552
39	7	124
39	20	255
39	27	407
39	36	2099
39	13	109
39	25	521
39	2	2382
39	42	1179
39	3	415
39	19	5260
39	32	761
39	23	192
39	15	197
39	4	2490
39	12	109
39	5	736
39	43	323
35	17	255
35	34	56
35	46	322
35	16	5038
35	21	768
35	49	453
35	39	17
35	10	1228
35	18	2129
35	9	182
35	28	1678
35	47	1645
35	31	237
35	26	718
35	41	400
35	6	938
35	38	50
35	37	33410
35	8	596
35	7	431
35	48	488
35	1	152
35	20	226
35	27	737
35	33	159
35	36	1322
35	13	39
35	25	6199
35	2	2836
35	45	110
35	42	1551
35	3	237
35	44	1096
35	19	4600
35	40	492
35	32	685
35	23	283
35	15	1872
35	29	182
35	4	17268
35	12	1217
35	5	463
35	43	23
10	17	582
10	34	287
10	46	138
10	16	1088
10	21	446
10	49	340
10	39	37
10	35	88
10	18	2221
10	9	104
10	28	657
10	47	594
10	31	224
10	26	161
10	41	478
10	6	338
10	38	151
10	37	497
10	8	667
10	7	681
10	48	122
10	1	242
10	20	433
10	30	97
10	11	70
10	27	175
10	33	142
10	36	551
10	13	243
10	25	1419
10	2	1366
10	45	49
10	42	848
10	3	259
10	44	86
10	19	758
10	40	142
10	32	598
10	14	50
10	23	810
10	15	1619
10	22	125
10	29	50
10	4	1014
10	12	485
10	5	99
10	43	255
10	24	37
18	17	2011
18	34	228
18	46	154
18	16	1089
18	21	589
18	49	171
18	39	18
18	35	108
18	10	4317
18	9	58
18	28	883
18	47	228
18	31	60
18	26	191
18	41	421
18	6	452
18	38	51
18	37	465
18	8	281
18	7	431
18	48	225
18	1	269
18	20	348
18	30	29
18	11	79
18	27	75
18	33	47
18	36	303
18	13	19
18	25	766
18	2	1699
18	45	9
18	42	813
18	3	260
18	44	104
18	19	438
18	40	16
18	32	1875
18	14	12
18	23	1617
18	15	2056
18	22	115
18	29	5
18	4	962
18	12	642
18	5	111
18	43	97
18	24	16
9	17	309
9	34	1839
9	16	3341
9	21	1667
9	49	60
9	39	20
9	35	28
9	10	794
9	18	586
9	28	867
9	47	116
9	31	181
9	26	285
9	41	31
9	6	166
9	38	89
9	37	268
9	8	117
9	7	151
9	48	360
9	1	367
9	20	373
9	30	2121
9	11	197
9	27	942
9	33	12
9	36	70
9	13	222
9	25	380
9	2	209
9	45	338
9	42	258
9	3	567
9	44	3192
9	19	225
9	32	124
9	14	48
9	23	493
9	15	1496
9	22	3215
9	4	408
9	12	6646
9	5	113
9	43	225
9	24	466
28	17	211
28	34	833
28	46	277
28	16	1649
28	21	494
28	49	70
28	39	44
28	35	61
28	10	1751
28	18	554
28	9	41
28	47	2207
28	31	929
28	26	132
28	41	345
28	6	95
28	38	15
28	37	281
28	8	224
28	7	779
28	48	457
28	1	209
28	20	1707
28	30	42
28	11	92
28	27	219
28	33	52
28	36	159
28	13	61
28	25	622
28	2	495
28	45	62
28	42	738
28	3	85
28	44	130
28	19	291
28	40	29
28	32	164
28	14	5
28	23	550
28	15	1527
28	22	123
28	29	17
28	4	550
28	12	333
28	5	17
28	43	1729
28	24	70
47	17	206
47	34	448
47	46	179
47	16	901
47	21	663
47	49	8
47	39	9
47	35	71
47	10	2111
47	18	913
47	9	43
47	28	2586
47	31	262
47	26	256
47	41	1866
47	6	207
47	37	185
47	8	103
47	7	1678
47	48	309
47	1	183
47	20	639
47	30	24
47	11	44
47	27	55
47	33	45
47	36	158
47	13	100
47	25	464
47	2	693
47	45	8
47	42	2070
47	3	227
47	44	211
47	19	244
47	32	581
47	14	32
47	23	855
47	15	1264
47	22	72
47	29	10
47	4	407
47	12	166
47	5	50
47	43	379
47	24	27
31	17	112
31	34	878
31	46	132
31	16	742
31	21	902
31	39	9
31	35	43
31	10	1256
31	18	548
31	9	29
31	28	2772
31	47	545
31	26	496
31	41	77
31	6	176
31	38	2
31	37	184
31	8	49
31	7	322
31	48	2347
31	1	52
31	20	1936
31	30	134
31	11	2215
31	27	232
31	33	17
31	36	116
31	13	124
31	25	310
31	2	251
31	45	148
31	42	337
31	3	353
31	44	271
31	19	40
31	32	209
31	14	793
31	23	200
31	15	1603
31	22	907
31	29	9
31	4	71
31	12	376
31	5	22
31	43	1352
31	24	84
26	17	299
26	34	865
26	46	358
26	16	966
26	21	1831
26	39	39
26	35	56
26	10	1962
26	18	518
26	9	21
26	28	696
26	47	562
26	31	318
26	41	208
26	6	145
26	38	96
26	37	598
26	8	195
26	7	279
26	48	320
26	1	138
26	20	7007
26	30	77
26	11	1075
26	27	416
26	33	35
26	36	147
26	13	232
26	25	498
26	2	552
26	45	55
26	42	404
26	3	2448
26	44	192
26	19	335
26	40	9
26	32	368
26	14	139
26	23	911
26	15	4401
26	22	137
26	4	396
26	12	881
26	5	13
26	43	402
26	24	186
41	17	568
41	34	302
41	46	298
41	16	857
41	21	569
41	49	28
41	35	25
41	10	1575
41	18	1407
41	9	18
41	28	666
41	47	2548
41	31	186
41	26	140
41	6	375
41	38	109
41	37	163
41	8	11
41	7	777
41	48	12
41	1	101
41	20	522
41	30	83
41	11	29
41	27	217
41	33	64
41	36	143
41	13	36
41	25	399
41	2	349
41	45	5
41	42	3015
41	3	308
41	44	46
41	19	281
41	40	65
41	32	438
41	23	3009
41	15	1377
41	22	49
41	29	283
41	4	890
41	12	311
41	5	512
41	43	144
6	17	674
6	34	157
6	46	859
6	16	1125
6	21	1097
6	49	197
6	39	38
6	35	61
6	10	1206
6	18	891
6	9	11
6	28	267
6	47	159
6	31	165
6	26	95
6	41	144
6	38	3
6	37	131
6	8	338
6	7	279
6	48	171
6	1	1866
6	20	256
6	11	89
6	27	91
6	33	1
6	36	73
6	13	171
6	25	235
6	2	199
6	45	3
6	42	481
6	3	556
6	44	49
6	19	150
6	40	5
6	32	588
6	23	532
6	15	6378
6	22	74
6	29	15
6	4	356
6	12	357
6	5	19
6	43	129
6	24	19
38	17	50
38	34	463
38	46	12
38	16	945
38	21	15
38	49	921
38	35	146
38	10	5534
38	18	167
38	28	396
38	31	58
38	26	158
38	41	34
38	6	189
38	37	250
38	8	2942
38	7	196
38	48	140
38	1	122
38	20	750
38	30	169
38	11	51
38	27	157
38	33	4607
38	36	323
38	13	42
38	25	1013
38	2	948
38	45	73
38	42	895
38	3	125
38	44	335
38	19	744
38	40	210
38	32	1564
38	23	783
38	15	973
38	22	286
38	29	665
38	4	861
38	12	400
38	5	26
38	43	175
37	17	257
37	34	510
37	46	28
37	16	1342
37	21	483
37	49	297
37	39	959
37	35	2398
37	10	1773
37	18	614
37	9	18
37	28	316
37	47	178
37	31	71
37	26	47
37	41	190
37	6	109
37	38	55
37	8	404
37	7	373
37	48	312
37	1	64
37	20	211
37	30	5
37	11	21
37	27	158
37	33	5
37	36	590
37	13	85
37	25	1243
37	2	1529
37	45	39
37	42	853
37	3	127
37	44	77
37	19	2977
37	40	81
37	32	605
37	14	10
37	23	296
37	15	844
37	22	104
37	29	146
37	4	4064
37	12	202
37	5	909
37	43	221
37	24	49
8	17	50
8	34	294
8	46	38
8	16	2154
8	21	891
8	49	1312
8	39	23
8	35	228
8	10	2275
8	18	623
8	9	50
8	28	494
8	47	125
8	31	87
8	26	28
8	41	62
8	6	82
8	38	583
8	37	596
8	7	258
8	48	122
8	1	10
8	20	121
8	30	14
8	11	29
8	27	47
8	33	2850
8	36	736
8	13	45
8	25	2262
8	2	556
8	45	28
8	42	328
8	3	185
8	44	114
8	19	885
8	40	1688
8	32	347
8	14	9
8	23	228
8	15	722
8	22	225
8	29	497
8	4	565
8	12	436
8	5	24
8	43	73
8	24	82
7	17	232
7	34	969
7	46	129
7	16	901
7	21	337
7	49	76
7	39	22
7	35	95
7	10	2364
7	18	1005
7	9	69
7	28	1271
7	47	1113
7	31	95
7	26	113
7	41	737
7	6	109
7	38	11
7	37	218
7	8	135
7	48	223
7	1	178
7	20	299
7	30	83
7	11	26
7	27	124
7	33	43
7	36	32
7	13	60
7	25	524
7	2	622
7	45	76
7	42	1650
7	3	136
7	44	57
7	19	266
7	40	23
7	32	299
7	14	90
7	23	455
7	15	959
7	22	168
7	29	28
7	4	301
7	12	350
7	5	78
7	43	395
7	24	97
48	17	139
48	34	1593
48	46	54
48	16	1588
48	21	556
48	49	112
48	39	65
48	35	73
48	10	1015
48	18	416
48	9	118
48	28	1215
48	47	286
48	31	1395
48	26	126
48	41	112
48	6	61
48	38	79
48	37	264
48	8	179
48	7	209
48	1	105
48	20	520
48	30	89
48	11	276
48	27	215
48	36	106
48	13	52
48	25	196
48	2	283
48	45	2837
48	42	208
48	3	168
48	44	333
48	19	217
48	40	24
48	32	140
48	14	663
48	23	219
48	15	521
48	22	71
48	29	58
48	4	426
48	12	502
48	5	3
48	43	3527
48	24	53
1	17	1659
1	34	98
1	46	1236
1	16	856
1	21	279
1	49	92
1	39	19
1	35	14
1	10	1839
1	18	1099
1	9	29
1	28	919
1	47	652
1	31	251
1	26	151
1	41	216
1	6	2275
1	38	26
1	37	194
1	8	51
1	7	309
1	48	67
1	20	372
1	30	10
1	11	58
1	27	262
1	36	35
1	13	151
1	25	259
1	2	796
1	45	24
1	42	340
1	3	620
1	44	62
1	19	18
1	32	471
1	14	11
1	23	3541
1	15	2145
1	22	95
1	4	450
1	12	206
1	43	79
1	24	45
20	17	258
20	34	430
20	46	1511
20	16	1116
20	21	625
20	49	59
20	39	13
20	35	55
20	10	1770
20	18	560
20	9	35
20	28	2201
20	47	751
20	31	691
20	26	3489
20	41	395
20	6	264
20	38	11
20	37	42
20	8	75
20	7	366
20	48	283
20	1	437
20	30	74
20	11	369
20	27	115
20	33	47
20	36	63
20	13	201
20	25	549
20	2	435
20	45	247
20	42	502
20	3	864
20	44	66
20	19	194
20	40	34
20	32	312
20	14	78
20	23	447
20	15	2044
20	22	257
20	29	3
20	4	317
20	12	465
20	5	9
20	43	209
20	24	40
30	17	100
30	34	1113
30	46	257
30	16	3048
30	21	2013
30	49	49
30	10	1751
30	18	250
30	9	3785
30	28	227
30	47	133
30	31	450
30	26	298
30	6	426
30	8	48
30	7	217
30	48	1252
30	1	165
30	20	509
30	11	107
30	27	1081
30	36	66
30	13	138
30	25	419
30	2	243
30	45	1769
30	42	274
30	3	794
30	44	2183
30	19	134
30	32	92
30	14	247
30	23	306
30	15	1806
30	22	1053
30	29	146
30	4	655
30	12	2907
30	43	781
30	24	1893
11	17	81
11	34	1237
11	46	89
11	16	1781
11	21	2412
11	49	24
11	39	49
11	35	92
11	10	509
11	18	692
11	9	18
11	28	702
11	47	318
11	31	4153
11	26	2226
11	41	390
11	6	401
11	38	44
11	37	71
11	8	98
11	7	60
11	48	535
11	1	74
11	20	1078
11	30	58
11	27	385
11	33	59
11	36	18
11	13	104
11	25	42
11	2	338
11	45	512
11	42	567
11	3	161
11	44	307
11	19	115
11	40	101
11	32	85
11	14	1173
11	23	233
11	15	2586
11	22	263
11	4	192
11	12	367
11	43	174
11	24	656
27	17	367
27	34	2446
27	46	44
27	16	10192
27	21	1380
27	49	62
27	39	208
27	35	15
27	10	452
27	18	1378
27	9	923
27	28	538
27	47	368
27	31	248
27	26	310
27	41	109
27	6	339
27	38	12
