O	D	Flow
17	34	125
17	46	197
17	16	1086
17	21	492
17	49	33
17	39	15
17	35	73
17	10	3183
17	18	3374
17	9	116
17	28	381
17	47	438
17	31	58
17	26	147
17	41	301
17	6	683
17	37	314
17	8	55
17	7	285
17	48	21
17	1	1406
17	20	298
17	11	6
17	27	377
17	33	25
17	36	51
17	13	73
17	25	175
17	2	769
17	42	420
17	3	197
17	44	134
17	19	342
17	40	8
17	32	382
17	14	2
17	23	2120
17	15	1477
17	22	76
17	29	50
17	4	595
17	12	119
17	5	49
17	43	66
17	24	52
34	17	273
34	46	246
34	16	5008
34	21	1501
34	49	27
34	39	41
34	35	53
34	10	1049
34	18	250
34	9	461
34	28	992
34	47	420
34	31	449
34	26	304
34	41	113
34	6	40
34	38	37
34	37	387
34	8	308
34	7	586
34	48	582
34	1	49
34	20	483
34	30	173
34	11	218
34	27	819
34	33	97
34	36	222
34	13	503
34	25	877
34	2	873
34	45	147
34	42	623
34	3	365
34	44	929
34	19	427
34	40	94
34	32	131
34	14	181
34	23	367
34	15	2352
34	22	1120
34	29	10
34	4	319
34	12	1443
34	43	371
34	24	175
46	17	782
46	34	185
46	16	962
46	21	512
46	35	68
46	10	2300
46	18	560
46	9	483
46	28	487
46	47	214
46	31	646
46	26	505
46	41	173
46	6	1005
46	37	18
46	8	193
46	7	333
46	48	135
46	1	502
46	20	2648
46	30	107
46	11	248
46	27	16
46	36	81
46	13	14
46	25	353
46	2	237
46	45	85
46	42	471
46	3	2310
46	44	211
46	19	256
46	32	541
46	14	163
46	23	2038
46	15	4882
46	22	77
46	4	287
46	12	384
46	5	2
46	43	97
46	24	66
16	17	87
16	34	1404
16	46	130
16	21	745
16	49	108
16	39	18
16	35	105
16	10	545
16	18	402
16	9	486
16	28	486
16	47	164
16	31	74
16	26	157
16	41	124
16	6	188
16	38	33
16	37	279
16	8	244
16	7	262
16	48	173
16	1	91
16	20	247
16	30	111
16	11	85
16	27	1407
16	33	67
16	36	139
16	13	172
16	25	655
16	2	436
16	45	66
16	42	286
16	3	199
16	44	1039
16	19	263
16	40	48
16	32	151
16	14	34
16	23	257
16	15	1684
16	22	466
16	29	24
16	4	629
16	12	1171
16	5	22
16	43	134
16	24	60
21	17	353
21	34	2025
21	46	445
21	16	3881
21	49	85
21	39	35
21	35	79
21	10	1688
21	18	817
21	9	671
21	28	733
21	47	416
21	31	395
21	26	977
21	41	277
21	6	216
21	38	107
21	37	550
21	8	375
21	7	365
21	48	497
21	1	95
21	20	878
21	30	599
21	11	655
21	27	377
21	33	172
21	36	140
21	13	989
21	25	568
21	2	666
21	45	180
21	42	575
21	3	800
21	44	552
21	19	571
21	40	52
21	32	499
21	14	220
21	23	315
21	15	4143
21	22	727
21	29	68
21	4	697
21	12	1331
21	5	90
21	43	287
21	24	1675
49	17	249
49	34	673
49	16	1729
49	21	628
49	39	141
49	35	360
49	10	4150
49	18	556
49	9	35
49	28	410
49	47	189
49	31	48
49	26	121
49	41	103
49	6	45
49	38	450
49	37	559
49	8	2309
49	7	212
49	48	161
49	20	74
49	11	83
49	27	468
49	33	764
49	36	775
49	13	44
49	25	3257
49	2	1870
49	45	72
49	42	592
49	3	18
49	44	158
49	19	1663
49	40	1076
49	32	935
49	14	8
49	23	277
49	15	1107
49	22	82
49	29	384
49	4	1001
49	12	163
49	5	158
49	43	307
49	24	75
39	17	81
39	34	984
39	46	83
39	16	1187
39	21	81
39	49	365
39	35	267
39	10	1790
39	18	217
39	28	181
39	47	111
39	26	361
39	41	415
39	6	15
39	37	6856
39	8	753
39	7	121
39	48	36
39	20	269
39	11	36
39	33	183
39	36	1213
39	25	1307
39	2	1780
39	42	234
39	3	707
39	44	533
39	19	8090
39	32	227
39	23	336
39	15	2179
39	22	64
39	29	74
39	4	1273
39	12	41
39	5	245
39	43	93
35	17	771
35	34	488
35	46	290
35	16	5786
35	21	1676
35	49	561
35	39	413
35	10	2238
35	18	965
35	28	1554
35	47	105
35	31	165
35	26	185
35	41	312
35	6	136
35	38	177
35	37	32648
35	8	1795
35	7	658
35	48	417
35	20	599
35	11	19
35	27	139
35	33	430
35	36	1251
35	25	8319
35	2	5035
35	42	2210
35	3	540
35	44	1168
35	19	2201
35	40	8
35	32	387
35	23	617
35	15	2106
35	22	275
35	29	423
35	4	16240
35	12	602
35	5	681
35	43	960
35	24	42
10	17	779
10	34	387
10	46	130
10	16	1268
10	21	624
10	49	302
10	39	43
10	35	135
10	18	2339
10	9	92
10	28	565
10	47	372
10	31	173
10	26	166
10	41	347
10	6	267
10	38	128
10	37	510
10	8	585
10	7	571
10	48	173
10	1	302
10	20	355
10	30	47
10	11	89
10	27	296
10	33	150
10	36	459
10	13	106
10	25	1296
10	2	1374
10	45	18
10	42	638
10	3	186
10	44	138
10	19	726
10	40	215
10	32	807
10	14	13
10	23	883
