O	D	Flow
17	34	274
17	46	117
17	16	762
17	21	640
17	49	42
17	39	103
17	35	101
17	10	1926
17	18	3132
17	9	11
17	28	345
17	47	249
17	31	167
17	26	56
17	41	584
17	6	580
17	38	50
17	37	132
17	8	43
17	7	752
17	48	100
17	1	1217
17	20	516
17	30	61
17	11	86
17	27	39
17	33	22
17	36	34
17	13	157
17	25	379
17	2	928
17	45	10
17	42	510
17	3	232
17	44	36
17	19	290
17	40	27
17	32	437
17	14	29
17	23	1953
17	15	2099
17	22	132
17	4	480
17	12	329
17	5	49
17	43	155
17	24	54
34	17	214
34	46	150
34	16	3819
34	21	960
34	49	91
34	39	10
34	35	77
34	10	791
34	18	882
34	9	216
34	28	590
34	47	134
34	31	333
34	26	199
34	41	47
34	6	73
34	38	45
34	37	239
34	8	146
34	7	702
34	48	367
34	1	78
34	20	400
34	30	54
34	11	206
34	27	781
34	33	26
34	36	127
34	13	1012
34	25	543
34	2	798
34	45	80
34	42	446
34	3	274
34	44	984
34	19	463
34	40	14
34	32	337
34	14	57
34	23	358
34	15	2111
34	22	1156
34	29	18
34	4	367
34	12	1665
34	5	1
34	43	241
34	24	31
46	17	172
46	34	587
46	16	1156
46	21	451
46	49	53
46	35	34
46	10	1008
46	18	684
46	9	88
46	28	863
46	47	283
46	31	230
46	26	408
46	41	113
46	6	1095
46	38	3
46	37	136
46	8	68
46	7	274
46	48	211
46	1	749
46	20	2185
46	30	299
46	11	88
46	27	183
46	33	61
46	36	58
46	13	85
46	25	402
46	2	248
46	45	15
46	42	227
46	3	2277
46	44	175
46	19	97
46	40	58
46	32	77
46	14	27
46	23	1946
46	15	4738
46	22	58
46	4	394
46	12	357
46	43	200
46	24	240
16	17	59
16	34	1504
16	46	135
16	21	686
16	49	71
16	39	14
16	35	95
16	10	785
16	18	306
16	9	543
16	28	407
16	47	256
16	31	66
16	26	165
16	41	113
16	6	140
16	38	40
16	37	228
16	8	323
16	7	276
16	48	140
16	1	119
16	20	277
16	30	138
16	11	94
16	27	1207
16	33	61
16	36	202
16	13	175
16	25	634
16	2	570
16	45	102
16	42	286
16	3	182
16	44	1273
16	19	279
16	40	61
16	32	193
16	14	91
16	23	200
16	15	1605
16	22	432
16	29	31
16	4	368
16	12	1333
16	5	14
16	43	120
16	24	59
21	17	351
21	34	2282
21	46	453
21	16	4461
21	49	65
21	39	25
21	35	197
21	10	2149
21	18	887
21	9	681
21	28	921
21	47	301
21	31	402
21	26	1046
21	41	109
21	6	280
21	38	151
21	37	388
21	8	330
21	7	534
21	48	752
21	1	178
21	20	761
21	30	399
21	11	805
21	27	1517
21	33	91
21	36	195
21	13	637
21	25	553
21	2	716
21	45	177
21	42	571
21	3	619
21	44	567
21	19	496
21	40	75
21	32	312
21	14	228
21	23	324
21	15	3567
21	22	824
21	29	122
21	4	827
21	12	1509
21	5	82
21	43	374
21	24	758
49	17	94
49	34	204
49	16	1660
49	21	503
49	39	48
49	35	321
49	10	3148
49	18	620
49	28	520
49	47	115
49	31	41
49	26	115
49	41	223
49	6	113
49	38	472
49	37	483
49	8	2557
49	7	219
49	48	260
49	1	40
49	20	118
49	27	193
49	33	824
49	36	1489
49	25	4852
49	2	1617
49	42	693
49	3	27
49	44	99
49	19	1101
49	40	893
49	32	959
49	23	563
49	15	661
49	22	79
49	29	234
49	4	942
49	12	366
49	5	11
49	43	78
49	24	53
39	17	22
39	34	846
39	16	513
39	21	798
39	49	483
39	35	391
39	10	4003
39	18	1041
39	9	131
39	28	125
39	31	99
39	41	583
39	38	116
39	37	5701
39	8	1653
39	7	75
39	48	136
39	1	71
39	20	65
39	11	11
39	27	540
39	36	1612
39	25	1257
39	2	1239
39	45	174
39	42	424
39	44	88
39	19	9315
39	32	484
39	23	677
39	15	310
39	29	14
39	4	2202
39	12	985
39	5	376
39	43	419
39	24	250
35	17	543
35	34	520
35	16	9811
35	21	1241
35	49	595
35	39	454
35	10	870
35	18	1549
35	28	1431
35	47	359
35	26	7
35	41	73
35	6	143
35	38	178
35	37	32826
35	8	2042
35	7	640
35	48	742
35	20	244
35	30	67
35	11	14
35	27	358
35	33	146
35	36	952
35	13	198
35	25	6333
35	2	3141
35	42	1676
35	3	51
35	44	86
35	19	4804
35	32	463
35	23	463
35	15	1880
35	22	720
35	29	375
35	4	14517
35	12	2073
35	5	413
35	43	210
10	17	675
10	34	406
10	46	72
10	16	1173
10	21	590
10	49	314
10	39	63
10	35	56
10	18	2243
10	9	87
10	28	501
10	47	430
10	31	188
10	26	126
10	41	301
10	6	210
10	38	145
10	37	369
10	8	548
10	7	690
10	48	167
10	1	213
10	20	316
10	30	57
10	11	98
10	27	277
10	33	118
10	36	431
10	13	49
10	25	1342
10	2	1602
10	45	59
10	42	755
10	3	201
10	44	155
10	19	815
10	40	191
10	32	702
10	14	27
10	23	928
10	15	1609
10	22	49
10	29	78
10	4	852
10	12	491
10	5	125
10	43	262
10	24	7
18	17	2148
18	34	506
18	46	173
18	16	982
18	21	452
18	49	147
18	39	17
18	35	144
18	10	3727
18	9	42
18	28	424
18	47	405
18	31	237
18	26	239
18	41	254
18	6	324
18	38	119
18	37	609
18	8	354
18	7	556
18	48	215
18	1	763
18	20	270
18	30	10
18	11	56
18	27	119
18	33	69
18	36	297
18	13	39
18	25	1088
18	2	1622
18	45	5
18	42	589
18	3	207
18	44	125
18	19	504
18	40	88
18	32	1218
18	14	24
18	23	1620
18	15	1554
18	22	213
18	29	7
18	4	836
18	12	516
18	5	62
18	43	172
9	17	68
9	34	2323
9	46	338
9	16	3275
9	21	1737
9	35	93
9	10	791
9	18	1062
9	28	390
9	47	22
9	31	585
9	26	31
9	41	18
9	38	104
9	37	202
9	8	426
9	7	125
9	48	121
9	20	450
9	30	697
9	11	392
9	27	1895
9	36	186
9	13	353
9	25	633
9	2	56
9	45	499
9	42	384
9	3	196
9	44	2587
9	19	257
9	40	19
9	32	237
9	14	25
9	23	327
9	15	1476
9	22	3924
9	4	62
9	12	5800
9	5	69
9	43	151
9	24	349
28	17	187
28	34	1024
28	46	176
28	16	2122
28	21	833
28	49	54
28	39	67
28	35	213
28	10	2240
28	18	941
28	9	27
28	47	2310
28	31	1017
28	26	222
28	41	417
28	6	143
28	38	11
28	37	204
28	8	180
28	7	1088
28	48	571
28	1	204
28	20	1781
28	30	65
28	11	126
28	27	214
28	33	75
28	36	196
28	13	101
28	25	538
28	2	470
28	45	23
28	42	757
28	3	153
28	44	321
28	19	394
28	40	16
28	32	306
28	14	13
28	23	968
28	15	2051
28	22	141
28	29	103
28	4	509
28	12	692
28	5	15
28	43	2109
28	24	12
47	17	344
47	34	507
47	46	271
47	16	779
47	21	413
47	49	80
47	39	6
47	35	106
47	10	1777
47	18	498
47	9	25
47	28	2552
47	31	208
47	26	215
47	41	1530
47	6	49
47	38	14
47	37	283
47	8	170
47	7	1377
47	48	376
47	1	294
47	20	313
47	30	47
47	11	25
47	27	129
47	33	46
47	36	132
47	13	176
47	25	399
47	2	659
47	45	11
47	42	1502
47	3	195
47	44	112
47	19	550
47	40	37
47	32	441
47	23	712
47	15	1428
47	22	124
47	4	235
47	12	175
47	5	73
47	43	341
47	24	2
31	17	199
31	34	1089
31	46	56
31	16	1325
31	21	966
31	35	5
31	10	1103
31	18	343
31	28	2812
31	47	580
31	26	674
31	41	177
31	6	150
31	37	121
31	8	105
31	7	626
31	48	1868
31	1	86
31	20	1807
31	30	81
31	11	2809
31	27	108
31	33	21
31	36	7
31	13	154
31	25	652
31	2	311
31	45	207
31	42	536
31	3	414
31	44	174
31	19	188
31	40	21
31	32	49
31	14	789
31	23	106
31	15	1937
31	22	25
31	29	25
31	4	488
31	12	275
31	5	57
31	43	960
31	24	162
26	17	222
26	34	861
26	46	694
26	16	1788
26	21	2287
26	10	1160
26	18	1792
26	28	416
26	47	546
26	31	995
26	41	367
26	6	199
26	37	155
26	8	237
26	7	503
26	48	229
26	1	100
26	20	7595
26	30	91
26	11	803
26	27	84
26	36	429
26	13	46
26	25	474
26	2	546
26	45	33
26	42	745
26	3	2805
26	44	446
26	19	154
26	32	283
26	14	114
26	23	617
26	15	4004
26	22	126
26	29	20
26	4	952
26	12	773
26	5	139
26	43	152
26	24	36
41	17	484
41	34	383
41	46	274
41	16	770
41	21	493
41	49	50
41	39	4
41	35	64
41	10	2192
41	18	499
41	9	60
41	28	670
41	47	2537
41	31	104
41	26	37
41	6	99
41	38	9
41	37	201
41	8	208
41	7	888
41	48	80
41	1	182
41	20	356
41	30	15
41	11	110
41	27	121
41	33	10
41	36	70
41	13	43
41	25	273
41	2	343
41	45	5
41	42	3466
41	3	306
41	44	28
41	19	479
41	32	548
41	23	2950
41	15	1473
41	22	239
41	4	621
41	12	88
41	5	203
41	43	197
6	17	494
6	34	465
6	46	613
6	16	1106
6	21	469
6	49	153
6	39	15
6	35	98
6	10	1370
6	18	1365
6	9	60
6	28	225
6	47	261
6	31	70
6	26	124
6	41	257
6	38	97
6	37	84
6	8	202
6	7	353
6	48	80
6	1	1734
6	20	410
6	30	48
6	11	56
6	27	95
6	33	10
6	36	63
6	13	189
6	25	303
6	2	747
6	45	45
6	42	176
6	3	512
6	44	312
6	19	224
6	40	60
6	32	343
6	14	269
6	23	559
6	15	6144
6	22	67
6	29	31
6	4	579
6	12	514
6	5	33
6	43	224
6	24	28
38	17	41
38	34	145
38	16	1931
38	21	335
38	49	469
38	35	91
38	10	2217
38	18	98
38	9	202
38	28	129
38	31	40
38	26	17
38	37	147
38	8	3071
38	7	257
38	48	122
38	1	171
38	30	112
38	27	61
38	33	2959
38	36	190
38	25	1207
38	2	759
38	42	276
38	3	35
38	44	152
38	19	866
38	40	326
38	32	386
38	14	66
38	23	439
38	15	485
38	22	113
38	29	467
38	4	850
38	12	422
38	5	29
38	43	677
37	17	132
37	34	183
37	46	236
37	16	1876
37	21	567
37	49	164
37	39	1618
37	35	1798
37	10	3138
37	18	668
37	9	50
37	28	445
37	47	181
37	31	96
37	26	103
37	41	234
37	6	125
37	38	14
37	8	447
37	7	244
37	48	155
37	1	157
37	20	310
37	30	31
37	11	77
37	27	226
37	33	138
37	36	799
37	13	155
37	25	1410
37	2	1809
37	45	15
37	42	733
37	3	163
37	44	229
37	19	3300
37	40	42
37	32	543
37	14	50
37	23	248
37	15	1625
37	22	187
37	29	46
37	4	4246
37	12	435
37	5	782
37	43	99
37	24	18
8	17	65
8	34	347
8	46	14
8	16	2445
8	21	405
8	49	1749
8	39	57
8	35	389
8	10	2654
8	18	413
8	28	437
8	47	139
8	31	41
8	26	60
8	41	80
8	6	51
8	38	1103
8	37	414
8	7	258
8	48	186
8	1	26
8	20	295
8	30	4
8	11	25
8	27	122
8	33	3168
8	36	378
8	13	50
8	25	2153
8	2	1108
8	45	19
8	42	441
8	3	36
8	44	119
8	19	885
8	40	1738
8	32	380
8	23	161
8	15	802
8	22	94
8	29	579
8	4	509
8	12	537
8	5	28
8	43	95
7	17	182
7	34	566
7	46	96
7	16	1156
7	21	266
7	49	37
7	39	44
7	35	81
7	10	1922
7	18	526
7	9	63
7	28	1082
7	47	839
7	31	63
7	26	37
7	41	160
7	6	200
7	38	22
7	37	137
7	8	275
7	48	467
7	1	42
7	20	252
7	30	75
7	11	90
7	27	202
7	33	10
7	36	168
7	13	49
7	25	309
7	2	541
7	45	71
7	42	1145
7	3	25
7	44	164
7	19	332
7	40	19
7	32	268
7	14	25
7	23	655
7	15	704
7	22	60
7	29	35
7	4	299
7	12	384
7	5	80
7	43	500
7	24	9
48	17	75
48	34	1274
48	46	145
48	16	1345
48	21	784
48	49	28
48	39	8
48	35	78
48	10	1367
48	18	465
48	9	62
48	28	949
48	47	251
48	31	1227
48	26	121
48	41	103
48	6	15
48	38	43
48	37	131
48	8	325
48	7	211
48	1	59
48	20	300
48	30	170
48	11	487
48	27	303
48	33	7
48	36	160
48	13	55
48	25	354
48	2	497
48	45	2487
48	42	244
48	3	194
48	44	167
48	19	292
48	32	156
48	14	630
48	23	175
48	15	1565
48	22	308
48	29	13
48	4	361
48	12	573
48	5	28
48	43	3570
48	24	85
1	17	2609
1	34	421
1	46	1395
1	16	1103
1	21	363
1	35	52
1	10	1417
1	18	1538
1	9	87
1	28	806
1	47	214
1	31	54
1	26	184
1	41	165
1	6	3015
1	38	22
1	37	269
1	8	15
1	7	611
1	48	191
1	20	516
1	30	78
1	27	268
1	36	26
1	13	140
1	25	253
1	2	576
1	45	124
1	42	191
1	3	514
1	44	122
1	19	540
1	40	55
1	32	382
1	14	4
1	23	2954
1	15	3747
1	22	120
1	4	354
1	12	81
1	5	115
1	43	285
20	17	89
20	34	850
20	46	1106
20	16	1120
20	21	618
20	49	262
20	39	25
20	35	76
20	10	1444
20	18	656
20	9	199
20	28	2644
20	47	210
20	31	738
20	26	3537
20	41	269
20	6	159
20	38	107
20	37	41
20	8	412
20	7	694
20	48	285
20	1	474
20	30	14
20	11	315
20	27	407
20	33	33
20	36	124
20	13	100
20	25	657
20	2	719
20	42	411
20	3	525
20	44	268
20	19	153
20	40	25
20	32	548
20	14	62
