O	D	Flow
17	34	183
17	46	422
17	16	626
17	21	478
17	49	226
17	39	30
17	35	28
17	10	2334
17	18	3757
17	28	415
17	47	232
17	31	81
17	26	180
17	41	467
17	6	1163
17	38	96
17	37	255
17	8	140
17	7	470
17	48	23
17	1	1053
17	20	469
17	30	60
17	11	46
17	27	81
17	33	35
17	36	9
17	13	150
17	25	82
17	2	717
17	45	39
17	42	637
17	3	36
17	44	34
17	19	406
17	40	10
17	32	580
17	23	1579
17	15	1421
17	22	25
17	4	498
17	12	301
17	5	58
17	43	198
17	24	54
34	17	147
34	46	120
34	16	4863
34	21	1875
34	49	44
34	39	3
34	35	107
34	10	1485
34	18	562
34	9	622
34	28	756
34	47	170
34	31	224
34	26	383
34	41	169
34	6	123
34	38	37
34	37	135
34	8	361
34	7	585
34	48	644
34	1	78
34	20	426
34	30	204
34	11	182
34	27	827
34	33	97
34	36	145
34	13	1058
34	25	716
34	2	509
34	45	98
34	42	377
34	3	275
34	44	710
34	19	299
34	40	51
34	32	246
34	14	105
34	23	208
34	15	2927
34	22	1316
34	29	48
34	4	516
34	12	1844
34	5	8
34	43	484
34	24	50
46	17	165
46	34	403
46	16	1432
46	21	270
46	49	321
46	10	1383
46	18	798
46	9	114
46	28	430
46	47	437
46	31	105
46	26	510
46	41	252
46	6	491
46	37	116
46	8	129
46	7	269
46	48	161
46	1	1084
46	20	2850
46	30	113
46	11	189
46	27	178
46	36	45
46	13	184
46	25	252
46	2	379
46	45	48
46	42	291
46	3	2473
46	44	308
46	19	327
46	40	30
46	32	194
46	14	6
46	23	1867
46	15	4008
46	22	379
46	4	173
46	12	275
46	5	65
46	43	467
46	24	25
16	17	168
16	34	1653
16	46	102
16	21	687
16	49	101
16	39	15
16	35	99
16	10	725
16	18	483
16	9	434
16	28	387
16	47	177
16	31	60
16	26	115
16	41	168
16	6	118
16	38	33
16	37	162
16	8	327
16	7	204
16	48	159
16	1	110
16	20	179
16	30	132
16	11	93
16	27	1161
16	33	24
16	36	210
16	13	126
16	25	577
16	2	450
16	45	45
16	42	300
16	3	288
16	44	1118
16	19	316
16	40	37
16	32	123
16	14	74
16	23	204
16	15	1785
16	22	588
16	29	25
16	4	446
16	12	1314
16	5	27
16	43	174
16	24	40
21	17	393
21	34	2147
21	46	624
21	16	4069
21	49	101
21	39	19
21	35	95
21	10	1783
21	18	602
21	9	554
21	28	587
21	47	273
21	31	627
21	26	966
21	41	491
21	6	456
21	38	73
21	37	398
21	8	549
21	7	382
21	48	846
21	1	79
21	20	895
21	30	455
21	11	1003
21	27	594
21	33	181
21	36	246
21	13	775
21	25	625
21	2	773
21	45	90
21	42	589
21	3	667
21	44	654
21	19	619
21	40	76
21	32	351
21	14	148
21	23	305
21	15	3898
21	22	652
21	29	63
21	4	590
21	12	2349
21	5	83
21	43	745
21	24	763
49	17	158
49	34	446
49	46	51
49	16	819
49	21	805
49	39	352
49	35	342
49	10	4271
49	18	1698
49	9	13
49	28	362
49	47	247
49	31	16
49	41	91
49	6	53
49	38	465
49	37	197
49	8	3138
49	7	254
49	48	113
49	1	28
49	20	124
49	30	19
49	11	354
49	27	139
49	33	680
49	36	1085
49	13	85
49	25	4566
49	2	2075
49	45	9
49	42	374
49	3	109
49	44	314
49	19	1852
49	40	1188
49	32	821
49	23	570
49	15	512
49	22	286
49	29	300
49	4	1441
49	12	365
49	5	176
49	43	96
39	34	442
39	16	1445
39	35	292
39	10	3312
39	18	1363
39	28	216
39	47	422
39	38	27
39	37	5979
39	8	324
39	7	301
39	48	68
39	20	686
39	11	48
39	27	102
39	36	1906
39	13	324
39	25	1126
39	2	1006
39	42	476
39	3	194
39	44	167
39	19	5446
39	40	24
39	32	153
39	23	194
39	15	2120
39	22	193
39	29	30
39	4	1456
39	12	291
35	17	141
35	34	402
35	46	100
35	16	9213
35	21	1983
35	49	631
35	39	164
35	10	2554
35	18	2147
35	28	1579
35	47	93
35	31	20
35	26	137
35	6	78
35	38	236
35	37	28803
35	8	2038
35	7	936
35	48	348
35	1	265
35	20	387
35	11	102
35	33	121
35	36	1073
35	13	153
35	25	4435
35	2	2532
35	42	1143
35	3	370
35	44	883
35	19	2782
35	40	258
35	32	2263
35	23	430
35	15	2367
35	22	714
35	29	90
35	4	12673
35	12	1090
35	5	714
35	43	313
10	17	806
10	34	451
10	46	65
10	16	1229
10	21	657
10	49	224
10	39	34
10	35	131
10	18	2175
10	9	65
10	28	631
10	47	533
10	31	84
10	26	142
10	41	448
10	6	174
10	38	143
10	37	528
10	8	547
10	7	693
10	48	145
10	1	196
10	20	285
10	30	34
10	11	114
10	27	242
10	33	103
10	36	504
10	13	116
10	25	1140
10	2	1563
10	45	11
10	42	731
10	3	153
10	44	153
10	19	627
10	40	134
10	32	648
10	14	36
10	23	724
10	15	1510
10	22	131
10	29	42
10	4	943
10	12	441
10	5	96
10	43	254
10	24	9
18	17	2233
18	34	411
18	46	260
18	16	1423
18	21	594
18	49	109
18	39	28
18	35	107
18	10	3841
18	9	44
18	28	654
18	47	437
18	31	84
18	26	233
18	41	470
18	6	318
18	38	24
18	37	673
18	8	244
18	7	591
18	48	239
18	1	208
18	20	378
18	30	37
18	11	83
18	27	240
18	33	113
18	36	289
18	13	86
18	25	502
18	2	2415
18	45	19
18	42	387
18	3	246
18	44	87
18	19	505
18	40	37
18	32	1575
18	14	12
18	23	1588
18	15	1570
18	22	149
18	29	1
18	4	613
18	12	272
18	5	160
18	43	68
9	17	126
9	34	1649
9	16	2138
9	21	930
9	39	17
9	10	526
9	18	555
9	28	430
9	47	128
9	31	336
9	26	57
9	6	275
9	38	7
9	37	64
9	8	57
9	7	1450
9	48	241
9	1	539
9	20	318
9	30	1036
9	11	262
9	27	602
9	33	74
9	13	227
9	25	340
9	2	753
9	45	304
9	42	18
9	3	353
9	44	2719
9	19	373
9	32	27
9	14	64
9	23	130
9	15	1585
9	22	5658
9	4	87
9	12	6906
9	5	28
9	43	832
9	24	638
28	17	289
28	34	1044
28	46	202
28	16	1680
28	21	886
28	49	135
28	39	74
28	35	188
28	10	1818
28	18	595
28	9	59
28	47	2330
28	31	1165
28	26	198
28	41	498
28	6	199
28	38	34
28	37	93
28	8	485
28	7	1077
28	48	760
28	1	263
28	20	2020
28	30	91
28	11	188
28	27	231
28	33	11
28	36	127
28	13	35
28	25	698
28	2	668
28	45	49
28	42	972
28	3	234
28	44	175
28	19	416
28	40	48
28	32	351
28	14	59
28	23	759
28	15	1704
28	22	112
28	29	14
28	4	602
28	12	578
28	5	27
28	43	2443
28	24	11
47	17	217
47	34	820
47	46	50
47	16	1066
47	21	402
47	49	73
47	39	3
47	35	144
47	10	2166
47	18	282
47	9	23
47	28	2291
47	31	282
47	26	110
47	41	1656
47	6	40
47	38	17
47	37	70
47	8	193
47	7	1624
47	48	266
47	1	122
47	20	395
47	30	42
47	11	57
47	27	125
47	33	29
47	36	172
47	13	48
47	25	371
47	2	634
47	45	19
47	42	1745
47	3	163
47	44	158
47	19	234
47	32	424
47	14	127
47	23	1015
47	15	1519
47	22	203
47	4	343
47	12	195
47	5	51
47	43	524
47	24	17
31	17	214
31	34	845
31	46	356
31	16	1221
31	21	1035
31	49	51
31	35	69
31	10	2117
31	18	677
31	9	153
31	28	3046
31	47	477
31	26	787
31	41	226
31	6	419
31	38	151
31	37	104
31	8	120
31	7	195
31	48	1701
31	1	52
31	20	1851
31	30	36
31	11	1872
31	27	235
31	33	75
31	36	35
31	13	33
31	25	119
31	2	153
31	45	47
31	42	124
31	3	409
31	44	68
31	19	298
31	40	98
31	32	52
31	14	921
31	23	206
31	15	2107
31	22	119
31	29	26
31	4	73
31	12	250
31	5	20
31	43	1080
31	24	181
26	17	433
26	34	1162
26	46	336
26	16	1131
26	21	1591
26	49	113
26	10	821
26	18	688
26	9	45
26	28	921
26	47	522
26	31	642
26	41	516
26	6	514
26	38	14
26	37	225
26	8	350
26	7	229
