Flow,O,D,Year
231,8,35,2013
1668,18,32,2011
733,37,42,2017
196,28,8,2007
3503,24,14,2016
72,49,35,2005
176,38,14,2009
157,40,23,2006
11053,45,48,2011
560,7,18,2018
198,35,27,2008
610,2,21,2017
1824,2,4,2015
3040,32,18,2017
634,39,35,2009
401,11,48,2010
1202,12,10,2018
212,42,48,2006
474,7,4,2016
261,47,20,2006
290,49,29,2008
1543,7,42,2018
63,36,33,2006
14,42,45,2016
695,22,19,2015
1077,44,21,2006
676,34,18,2008
382,20,4,2007
629,20,12,2008
838,29,16,2010
59,45,35,2014
2227,27,15,2016
4,27,45,2018
971,33,4,2017
1305,37,5,2007
159,4,6,2010
492,3,18,2016
65,28,30,2017
574,13,46,2007
244,25,7,2006
158,28,49,2013
205,38,18,2009
97,32,44,2012
384,7,12,2017
9,27,39,2016
43,23,40,2017
180,10,44,2018
4372,32,2,2011
63,7,9,2017
908,18,16,2010
264,3,28,2018
292,36,42,2008
222,27,4,2015
491,18,42,2009
346,28,23,2009
69,22,26,2011
16,26,39,2009
456,15,23,2017
592,28,25,2008
432,40,12,2009
2,42,14,2015
523,41,26,2007
367,47,25,2015
95,23,13,2013
187,14,5,2009
292,26,25,2011
94,23,5,2014
203,21,32,2005
51,49,46,2016
117,25,48,2009
3982,49,8,2018
924,34,28,2006
594,45,25,2017
234,1,25,2013
155,25,17,2016
107,10,39,2008
36,36,31,2013
53,49,6,2016
165,48,22,2014
1939,11,14,2018
68,31,27,2005
1215,24,13,2008
34,2,33,2014
607,38,23,2009
116,19,17,2010
8,7,14,2014
34,43,33,2018
62,39,28,2010
116,49,34,2012
140,18,26,2008
557,36,32,2010
341,8,7,2006
1050,27,10,2005
342,13,24,2010
368,3,11,2008
379,46,22,2016
570,39,34,2008
72,39,8,2009
195,37,49,2018
1885,47,41,2014
20,41,36,2010
959,47,23,2009
43,17,13,2008
145,5,22,2011
246,26,19,2013
16,17,39,2011
556,27,7,2018
107,12,5,2006
38,3,49,2010
452,43,25,2005
754,34,44,2009
1288,37,25,2018
24,12,39,2016
314,1,3,2007
166,15,17,2013
339,4,7,2015
23,41,30,2015
324,36,21,2011
1104,45,7,2007
153,31,17,2015
4686,21,16,2007
20,43,30,2014
1036,29,36,2007
214,19,7,2012
519,7,20,2008
46,36,43,2009
74,5,29,2007
95,5,39,2014
5035,35,2,2015
154,26,36,2010
188,27,17,2015
618,30,4,2011
2297,24,22,2009
2324,2,15,2012
249,25,35,2006
27,39,40,2014
85,30,46,2010
81,33,48,2018
714,9,10,2007
9,28,9,2018
2265,6,1,2008
84,47,39,2008
696,38,19,2008
364,41,26,2015
73,9,43,2018
200,13,36,2006
179,4,22,2018
712,48,21,2006
517,14,10,2006
103,34,35,2010
159,17,41,2005
142,35,11,2018
259,12,19,2012
311,41,12,2012
45,1,24,2012
1783,33,10,2012
509,8,4,2017
248,28,8,2014
171,49,35,2012
189,37,12,2008
430,40,23,2015
32,28,38,2009
1713,23,10,2008
96,7,1,2015
115,13,37,2010
31,4,29,2009
2842,2,4,2006
347,30,31,2007
671,45,18,2014
99,20,36,2015
79,27,36,2017
120,42,48,2009
620,49,18,2017
62,37,38,2018
539,47,20,2015
145,18,27,2009
65,36,33,2015
222,40,22,2005
355,17,32,2013
427,13,23,2009
31,34,24,2017
684,34,18,2007
649,3,10,2009
1557,3,10,2017
48,10,45,2007
59,11,49,2005
6,47,40,2011
258,9,28,2013
359,40,38,2010
120,6,11,2006
10,49,30,2009
73,41,48,2006
4958,44,16,2017
238,44,20,2009
516,3,2,2018
28,34,45,2008
150,25,41,2008
918,20,3,2009
1730,20,28,2009
209,10,44,2013
629,16,4,2015
399,1,2,2010
844,23,28,2015
1062,9,18,2017
25,36,48,2018
391,37,6,2006
200,46,43,2017
1036,31,16,2010
57,44,11,2005
750,11,14,2014
20,10,30,2008
249,47,25,2006
81,39,7,2013
401,32,1,2010
319,18,1,2018
20,27,5,2008
425,44,7,2009
40,22,5,2010
326,17,42,2011
248,41,34,2016
969,25,15,2018
34,42,9,2017
2608,30,16,2007
1222,42,19,2006
82,20,14,2016
174,28,37,2015
9,49,6,2009
3641,14,11,2011
596,35,44,2013
694,4,28,2015
396,21,46,2005
51,33,47,2017
32,2,33,2007
421,34,31,2007
445,8,34,2015
10,36,30,2018
505,49,34,2005
385,38,41,2006
464,8,7,2015
1245,27,10,2018
89,25,6,2013
264,33,7,2017
100,31,8,2010
28,43,9,2011
369,33,32,2010
2035,47,41,2005
4,19,14,2011
103,10,33,2016
47,6,44,2005
98,27,11,2006
485,28,8,2016
38,19,40,2017
757,38,32,2015
1615,22,15,2012
317,20,4,2012
33,34,14,2018
3288,4,2,2017
566,20,12,2013
65,10,9,2016
388,9,3,2010
48,11,36,2007
829,42,16,2016
474,26,18,2010
56,17,24,2005
1012,35,34,2007
2917,21,16,2012
32,16,33,2009
170,12,26,2013
124,33,17,2015
210,27,26,2018
6,46,14,2016
6760,44,12,2017
543,28,17,2011
386,25,12,2018
136,5,39,2005
359,46,41,2011
12,23,45,2007
2147,21,34,2016
349,48,27,2005
397,7,23,2016
162,11,1,2013
909,43,31,2013
1268,29,41,2008
652,45,31,2018
1065,19,4,2013
73,47,5,2017
209,30,6,2018
632,14,10,2013
131,23,36,2015
1064,45,16,2008
859,17,41,2012
185,12,19,2005
355,26,42,2010
231,30,17,2010
204,7,37,2008
116,40,47,2005
194,10,3,2006
1667,9,21,2012
23,49,5,2010
804,13,37,2005
109,27,41,2012
114,26,14,2017
2289,3,46,2010
95,20,36,2006
41,12,40,2012
348,43,44,2010
220,42,48,2016
1082,21,18,2013
356,37,28,2016
143,18,27,2018
933,28,31,2009
332,40,22,2012
76,13,23,2016
24,5,49,2011
52,31,32,2016
474,3,10,2006
788,27,46,2007
24,11,49,2012
280,3,23,2007
166,20,27,2014
504,42,25,2009
192,30,32,2015
1591,45,21,2005
1806,28,43,2015
110,6,11,2015
137,41,48,2015
3203,29,8,2017
175,17,25,2015
794,9,10,2012
106,23,24,2007
1954,22,12,2015
437,12,25,2011
1114,24,32,2011
1219,32,15,2017
80,12,6,2006
186,40,37,2011
2063,40,16,2015
932,49,15,2008
383,13,47,2015
414,8,37,2017
131,44,11,2010
98,13,9,2006
64,35,40,2018
143,2,40,2010
78,35,6,2016
648,20,18,2008
199,23,13,2010
936,35,7,2016
288,21,32,2009
85,23,5,2011
35,27,5,2007
7,37,45,2008
103,42,27,2015
324,14,47,2008
387,45,25,2018
605,44,10,2006
67,42,38,2018
2800,30,16,2014
192,42,43,2008
1157,42,19,2015
27,30,1,2016
706,32,16,2007
228,46,27,2006
1559,18,2,2014
274,6,37,2018
25,6,29,2005
1229,35,44,2006
194,8,39,2007
28,32,39,2017
320,22,20,2015
618,45,44,2005
319,14,12,2017
135,10,38,2014
830,41,4,2011
81,32,31,2017
10,36,14,2007
22,5,14,2013
1146,37,16,2005
238,2,5,2016
27,49,3,2017
312,13,36,2014
255,12,37,2007
350,3,17,2009
912,24,12,2006
360,16,18,2013
223,21,9,2013
21,31,38,2005
1031,11,20,2009
1070,6,10,2009
647,38,40,2005
49,6,44,2012
22,29,32,2017
43,48,46,2011
57,36,13,2013
86,48,4,2010
109,38,47,2008
1657,26,16,2018
56,34,14,2009
305,34,6,2010
405,24,27,2008
113,10,9,2009
188,1,37,2008
175,19,31,2014
283,42,37,2010
445,12,13,2010
441,18,12,2008
130,17,24,2018
762,17,16,2017
56,35,34,2012
119,48,37,2016
639,13,10,2014
208,48,3,2018
76,33,17,2006
1223,2,23,2014
423,8,35,2015
135,24,26,2016
86,29,5,2012
625,21,25,2016
424,26,19,2005
41,41,30,2013
199,17,48,2018
548,8,29,2010
404,38,29,2014
1033,36,4,2013
1828,40,49,2007
396,26,19,2016
275,45,26,2007
13,3,39,2015
161,33,18,2014
561,33,42,2013
1123,21,3,2007
895,11,26,2011
120,47,5,2008
220,47,13,2009
32,37,44,2009
2318,23,18,2006
376,26,13,2005
506,14,44,2011
3731,38,33,2015
463,21,31,2005
750,38,29,2009
557,31,7,2011
155,3,36,2005
1910,23,10,2005
919,24,17,2006
186,10,3,2015
90,1,47,2010
358,18,3,2011
703,29,32,2018
357,5,15,2011
315,10,34,2018
414,45,17,2011
420,30,31,2017
529,45,18,2009
736,45,43,2010
1832,21,10,2011
132,33,27,2012
1926,17,10,2017
250,31,12,2016
1544,7,42,2009
130,34,24,2018
35,46,35,2014
66,7,11,2016
788,8,19,2008
204,16,19,2012
533,3,23,2014
228,20,27,2007
62,12,1,2012
102,11,23,2010
134,38,43,2008
772,24,48,2009
777,11,48,2008
85,28,30,2010
123,27,32,2018
47,37,38,2007
27,23,24,2008
121,2,22,2010
173,2,48,2013
4,42,24,2010
395,27,4,2018
1971,8,25,2018
125,32,33,2011
418,42,34,2009
277,22,26,2016
718,46,18,2011
138,18,13,2009
203,13,47,2006
79,22,37,2011
252,13,9,2009
944,45,27,2009
1363,39,18,2016
1272,44,9,2012
734,21,4,2009
55,11,47,2005
557,29,4,2013
276,7,48,2015
63,40,14,2007
15,9,14,2013
13,8,30,2005
3104,49,8,2009
747,44,10,2009
674,16,25,2010
91,49,41,2016
219,2,43,2011
178,20,17,2009
1610,12,15,2006
813,32,16,2014
804,1,28,2006
224,15,11,2018
16,15,29,2009
895,37,32,2010
198,39,5,2014
23,8,39,2012
654,18,28,2016
630,22,20,2006
2068,25,36,2012
291,23,6,2010
187,10,38,2005
200,15,41,2016
43,19,46,2008
707,42,18,2008
70,32,31,2006
89,25,6,2008
1835,37,16,2010
650,6,28,2006
701,27,19,2008
266,46,4,2013
73,22,23,2014
156,13,19,2011
542,44,3,2009
146,19,33,2017
656,41,5,2008
1279,38,2,2007
94,36,13,2006
68,27,33,2011
775,21,13,2016
971,14,21,2007
104,12,36,2008
73,34,6,2017
39,3,22,2011
47,43,6,2005
262,12,2,2015
4691,44,16,2011
2241,20,15,2011
162,15,11,2015
28,10,45,2008
15,23,27,2011
153,15,49,2006
61,16,33,2017
631,40,42,2016
92,48,3,2011
1008,2,23,2007
547,34,9,2011
585,16,25,2007
2265,24,26,2011
3951,31,28,2008
570,29,5,2007
6,1,38,2009
376,19,28,2015
1482,19,36,2014
151,10,26,2010
130,21,49,2006
109,45,26,2008
256,32,36,2017
690,33,18,2007
783,21,3,2014
24,13,29,2005
2044,30,9,2008
52,16,1,2018
48,47,13,2016
149,37,44,2006
364,9,13,2014
76,41,31,2010
129,26,13,2018
58,41,33,2005
103,36,27,2012
991,48,10,2015
2206,17,10,2005
389,8,35,2017
18,3,36,2014
261,43,12,2011
243,12,8,2005
313,45,44,2018
723,44,30,2005
14,28,38,2018
214,1,47,2017
277,16,20,2017
196,20,44,2016
706,47,2,2008
9,20,5,2005
46,28,5,2009
2026,5,41,2005
830,26,12,2006
259,15,1,2005
50,8,17,2012
25,8,11,2017
1563,23,1,2009
68,48,9,2005
5233,3,15,2017
102,2,1,2013
50,43,13,2005
1873,39,10,2006
473,19,18,2005
33,37,31,2009
86,11,2,2016
554,47,19,2006
880,14,20,2013
316,16,19,2005
81,45,2,2008
28,12,1,2005
587,23,47,2014
1580,28,43,2010
338,33,4,2013
81,44,45,2010
663,30,3,2006
209,24,23,2018
512,9,10,2015
118,4,3,2014
281,45,3,2016
1063,22,47,2006
155,20,8,2008
64,37,11,2008
952,15,10,2010
982,18,16,2017
259,5,35,2015
578,35,6,2014
206,8,26,2018
1530,23,15,2007
219,29,31,2016
318,11,47,2012
16,42,11,2009
38,9,14,2006
26,46,13,2010
488,41,34,2011
97,27,24,2007
92,22,36,2008
211,4,48,2009
437,22,30,2011
59,43,35,2018
1476,31,34,2011
258,36,7,2016
837,1,28,2015
64,17,22,2018
176,12,46,2018
754,28,4,2015
167,49,39,2013
38,40,27,2014
231,26,41,2007
15,7,14,2018
89,17,46,2018
117,12,6,2018
178,32,31,2015
161,43,32,2008
381,20,6,2006
387,6,28,2009
652,8,38,2015
132,7,38,2018
4,36,45,2014
262,15,22,2018
98,22,23,2007
48,16,40,2006
448,34,46,2008
579,10,41,2006
685,7,2,2016
313,19,47,2011
309,19,21,2010
38,30,36,2005
85,36,27,2017
149,27,33,2018
17,38,43,2009
906,14,21,2012
15832,6,15,2005
306,46,7,2012
3198,4,2,2010
304,3,22,2016
120,16,49,2010
222,28,26,2017
437,12,2,2006
355,4,40,2009
130,22,46,2010
72,13,20,2010
1960,22,27,2015
200,44,46,2013
788,27,48,2006
30,10,40,2018
336,32,6,2011
13,17,13,2013
97,15,11,2006
650,41,16,2005
71,18,38,2009
1693,37,2,2005
526,36,18,2013
33,26,35,2009
654,43,7,2006
70,17,22,2009
124,11,2,2009
218,47,37,2007
524,38,29,2013
458,6,4,2009
26,5,24,2005
83,39,46,2015
51,44,39,2005
105,28,22,2009
499,49,12,2018
73,11,46,2013
574,3,4,2006
438,25,21,2016
1102,19,37,2009
215,47,26,2017
64,41,33,2012
4057,26,15,2010
119,36,27,2005
587,5,25,2015
60,39,7,2008
3248,17,10,2014
9446,45,48,2008
64,31,45,2008
756,44,30,2012
1032,34,27,2006
202,33,13,2012
646,8,32,2018
64,20,5,2014
45,1,48,2016
277,15,1,2012
197,6,49,2012
126,8,11,2014
246,15,47,2011
591,13,32,2014
85,48,9,2014
7333,3,15,2008
1216,48,10,2018
56,43,13,2012
450,28,12,2015
165,43,35,2011
89,37,31,2016
240,29,41,2011
6,43,14,2018
272,47,19,2009
293,16,19,2018
721,5,18,2011
870,26,31,2005
58,17,27,2011
2115,27,15,2007
1160,48,34,2009
147,34,17,2016
208,22,3,2011
212,30,3,2015
211,1,7,2015
168,16,43,2018
308,41,17,2015
1006,10,23,2005
1101,47,16,2007
226,36,17,2011
2201,5,19,2005
66,48,24,2011
39,44,17,2007
32,2,29,2016
733,21,28,2015
130,20,8,2007
562,12,22,2010
512,33,21,2012
1782,49,16,2018
1048,7,16,2008
377,1,7,2018
1127,37,39,2015
606,49,40,2014
132,37,1,2006
55,8,1,2008
179,26,32,2010
115,16,1,2012
90,41,46,2014
48,48,6,2018
2590,39,36,2006
52,30,18,2010
1039,24,6,2006
83,6,5,2008
316,38,23,2008
506,9,47,2018
822,4,18,2018
48,17,11,2010
208,5,36,2014
127,4,48,2016
4004,14,48,2009
159,28,36,2012
6,22,36,2018
554,20,48,2006
670,20,34,2015
2720,30,21,2005
39,23,14,2017
785,37,8,2008
72,37,48,2011
1021,28,34,2009
2221,22,9,2015
487,46,28,2015
133,13,33,2010
1109,4,25,2009
357,24,37,2005
26,13,39,2009
287,45,13,2009
190,44,31,2013
144,3,48,2011
1382,21,22,2009
159,20,6,2017
1446,44,21,2007
525,29,22,2013
71,7,38,2011
30,36,45,2007
1050,27,9,2009
22,42,30,2017
147,18,5,2007
137,3,14,2009
2050,35,28,2009
115,16,26,2016
50,30,2,2009
66,30,36,2012
627,21,31,2016
345,15,17,2009
57,38,48,2015
5125,6,15,2014
1709,38,25,2010
331,37,47,2007
56,48,35,2008
184,34,17,2009
45,34,41,2008
1,25,45,2008
55,10,40,2005
382,21,7,2016
2367,1,6,2010
18,10,45,2015
465,42,4,2008
450,41,16,2018
2435,24,14,2015
1375,37,2,2014
28,28,40,2011
26,46,22,2005
1055,24,47,2014
212,13,43,2008
327,4,47,2008
752,4,23,2011
1232,21,27,2012
308,11,2,2006
139,32,5,2010
1080,36,4,2018
502,21,46,2010
357,27,25,2008
374,18,41,2008
130,7,44,2005
1368,8,2,2011
354,18,8,2017
567,3,4,2015
587,35,18,2011
181,21,36,2007
96,30,20,2015
33,2,39,2009
153,47,26,2006
769,47,34,2009
219,38,20,2011
353,5,25,2006
356,15,25,2011
1804,14,15,2011
1218,18,32,2017
610,45,44,2017
114,48,41,2006
269,13,30,2013
819,34,27,2015
219,25,39,2010
60,29,23,2011
90,1,48,2009
82,1,8,2008
20,6,49,2005
11,8,11,2007
147,18,48,2006
183,13,32,2007
1902,5,10,2012
66,33,27,2017
322,4,6,2013
655,30,4,2012
661,45,12,2008
1511,3,21,2018
2458,24,16,2007
1601,39,10,2005
2863,4,37,2006
535,33,36,2010
315,34,18,2018
43,7,33,2008
92,32,11,2008
274,11,22,2016
253,28,12,2008
398,13,46,2008
2502,27,15,2014
151,15,44,2010
24,36,9,2012
87,35,31,2010
183,37,34,2017
451,13,32,2018
455,12,32,2010
578,1,7,2006
175,9,38,2018
50,43,24,2009
291,46,42,2016
866,10,23,2014
699,47,16,2008
75,42,33,2005
15,38,30,2009
3641,5,19,2012
20,26,30,2010
128,17,36,2010
423,17,28,2013
80,47,49,2017
177,35,38,2015
138,38,43,2018
415,28,23,2006
559,12,22,2005
296,33,21,2007
759,2,19,2013
798,46,18,2016
347,39,38,2014
602,42,5,2009
1220,37,39,2006
1784,25,16,2018
84,46,45,2011
351,40,42,2005
131,44,13,2017
399,47,25,2017
545,7,43,2016
1352,38,16,2010
333,13,42,2009
2760,5,4,2006
1529,48,31,2013
25,17,29,2007
122,24,6,2009
809,12,21,2011
241,19,8,2005
255,7,17,2015
755,9,47,2009
49,13,36,2013
80,49,41,2013
212,44,24,2018
227,36,7,2006
100,35,21,2008
104,8,27,2008
139,44,7,2010
4374,39,37,2009
2061,30,21,2010
318,2,36,2010
415,39,3,2012
2062,10,15,2014
48,2,31,2018
790,46,28,2006
61,15,24,2014
67,47,14,2010
140,49,34,2018
26,23,39,2008
77,17,46,2012
112,34,24,2008
285,37,49,2016
528,20,7,2016
180,23,44,2015
58,10,35,2010
96,2,29,2007
50,39,34,2018
1659,18,23,2018
230,15,22,2017
158,37,49,2008
23,28,33,2008
322,13,19,2016
322,46,31,2014
159,37,27,2011
16,4,24,2014
257,16,23,2015
108,4,38,2009
951,40,25,2016
1958,28,16,2006
430,18,47,2018
203,41,6,2008
504,32,12,2015
115,33,39,2018
121,7,31,2009
35,36,44,2008
12,9,33,2007
40,27,14,2011
3314,36,10,2015
116,4,13,2018
446,23,20,2015
1670,14,34,2017
1158,24,2,2014
684,21,7,2007
8,17,13,2014
63,45,36,2015
1216,20,46,2011
3,6,14,2009
23,28,40,2018
111,49,3,2008
8312,33,8,2018
794,4,23,2016
28,16,38,2010
33,34,40,2011
232,26,2,2006
2554,35,10,2016
444,34,2,2010
52,24,43,2012
192,3,31,2016
378,11,1,2016
98,7,44,2014
42,39,41,2010
2176,28,47,2010
141,9,37,2006
959,48,16,2010
340,37,21,2005
187,4,22,2008
162,44,6,2014
73,21,36,2012
7,19,11,2006
395,21,31,2015
282,9,46,2008
113,30,11,2010
309,6,17,2013
719,41,2,2005
3013,23,10,2015
92,48,41,2015
13,3,5,2008
181,25,39,2017
154,12,47,2005
75,1,48,2006
656,30,26,2016
6806,26,20,2016
3221,29,49,2005
109,47,35,2010
910,32,19,2017
17,47,9,2009
2033,5,10,2005
478,37,28,2013
244,2,1,2016
287,27,23,2017
45,26,9,2013
1382,48,31,2016
479,16,22,2005
333,28,12,2012
897,16,44,2008
580,25,32,2011
168,43,14,2017
58,7,33,2007
20,1,9,2011
35,38,44,2013
37,36,9,2005
12,5,11,2011
120,27,37,2012
886,28,21,2016
468,11,48,2014
6862,39,19,2013
470,33,37,2009
4,43,24,2018
2,42,33,2010
8,38,30,2016
132,7,30,2008
287,28,27,2014
107,44,17,2017
61,6,35,2012
27,9,32,2016
225,18,34,2011
74,25,48,2014
213,48,7,2018
568,2,19,2006
2574,27,34,2017
1117,15,10,2017
2454,24,30,2016
289,20,47,2014
88,44,41,2017
732,25,18,2014
1138,47,7,2007
4165,5,4,2015
354,29,22,2016
17,35,39,2012
303,23,44,2007
1040,14,27,2017
39,44,35,2015
462,43,41,2007
417,7,17,2006
130,37,40,2009
154,46,44,2008
502,46,1,2015
195,28,36,2009
75,18,27,2012
388,27,43,2010
161,25,20,2015
1116,20,16,2012
189,31,3,2011
739,49,7,2007
269,2,36,2005
48,10,39,2009
698,12,4,2006
68,33,47,2011
2047,10,15,2007
265,1,43,2009
55,15,24,2007
189,7,6,2008
31,31,6,2018
186,10,46,2018
113,26,8,2007
886,37,5,2015
114,41,38,2018
397,22,43,2018
33,2,29,2012
2884,34,15,2012
284,43,1,2006
103,20,37,2008
25,9,26,2005
241,46,31,2007
46,41,44,2012
1383,40,32,2006
1339,10,16,2005
55,4,24,2005
29,17,5,2014
40,34,49,2006
376,45,19,2009
25,47,11,2017
3157,24,34,2013
56,17,49,2014
112,30,7,2005
229,28,26,2010
33,27,14,2016
4097,36,10,2006
431,28,48,2009
22,46,38,2010
333,41,21,2005
1329,14,34,2008
2146,4,15,2009
63,36,29,2009
303,34,48,2018
294,44,13,2013
2950,41,23,2017
616,32,37,2011
97,42,46,2009
34,18,9,2009
375,6,32,2015
460,47,4,2013
7257,40,8,2005
621,36,49,2013
427,26,2,2013
21,17,48,2015
2551,35,10,2009
200,26,44,2008
949,24,43,2005
11,11,35,2013
100,24,13,2009
255,2,7,2010
142,19,35,2017
316,49,12,2009
326,15,23,2007
483,37,21,2012
767,27,28,2006
228,16,37,2011
26,16,29,2010
9,49,45,2016
244,44,28,2012
913,11,25,2007
212,11,17,2008
781,1,16,2014
1617,33,2,2010
650,41,2,2014
158,32,3,2017
478,11,2,2008
176,49,5,2016
82,42,6,2018
842,40,38,2015
33,15,40,2018
286,3,43,2014
9,25,30,2018
410,16,28,2006
812,44,27,2007
37,42,30,2008
77,8,41,2016
623,32,19,2014
2567,1,17,2018
170,39,23,2011
1051,6,16,2014
328,8,42,2012
75,23,38,2006
604,15,12,2011
15,36,41,2013
46,20,24,2017
7318,13,15,2011
377,48,14,2007
2358,42,10,2015
1443,34,12,2015
838,3,16,2005
4333,24,21,2007
278,30,6,2011
3219,29,10,2011
185,47,48,2009
918,41,19,2011
2108,8,16,2006
250,13,32,2017
1027,17,4,2011
54,46,11,2011
212,8,20,2010
7532,44,12,2011
116,16,43,2009
61,46,33,2017
82,40,35,2018
1280,25,49,2006
307,20,11,2011
75,7,30,2017
725,16,10,2016
166,1,26,2008
59,6,35,2005
146,47,49,2007
26,23,24,2017
3401,27,34,2013
499,48,7,2011
13329,27,16,2011
4253,24,30,2011
583,20,47,2007
231,31,24,2008
1653,16,34,2016
498,10,6,2010
29,47,33,2016
807,32,25,2008
1621,47,7,2014
498,17,4,2016
21,27,29,2010
355,18,37,2010
78,35,13,2014
28,22,29,2012
122,2,22,2017
1658,11,21,2008
1237,11,34,2012
2171,28,10,2018
201,41,3,2010
209,47,46,2011
203,41,37,2013
1420,32,16,2017
116,8,27,2015
17,17,14,2013
391,5,47,2007
57,8,39,2017
145,32,13,2017
725,12,4,2013
139,44,26,2013
1041,28,34,2018
30,33,1,2013
240,37,41,2010
430,32,8,2017
321,28,1,2009
19,23,29,2009
61,48,13,2013
102,35,11,2016
49,43,1,2013
277,31,46,2011
158,31,22,2010
369,32,20,2013
2,1,44,2011
69,19,22,2013
1088,10,16,2012
1950,27,22,2009
1470,14,24,2005
989,44,22,2017
315,23,8,2018
100,20,13,2017
34,38,43,2015
444,2,28,2015
613,6,46,2017
282,30,7,2014
1369,24,27,2018
293,24,47,2015
157,32,43,2006
197,9,11,2012
569,41,21,2012
2687,29,38,2008
133,46,8,2012
2078,4,15,2006
59,48,1,2017
71,5,31,2006
356,34,48,2005
151,22,35,2014
130,15,49,2017
7410,27,16,2018
975,21,24,2014
363,29,31,2017
123,24,33,2012
531,6,32,2006
406,22,43,2016
2120,37,35,2008
113,13,38,2010
1170,28,15,2011
268,14,37,2008
2214,35,10,2006
27,4,14,2010
96,45,49,2007
889,24,31,2006
380,41,25,2016
502,32,36,2012
23,31,36,2005
683,30,48,2013
235,32,26,2011
375,15,23,2014
108,37,12,2010
2347,8,33,2011
281,22,18,2011
24,23,8,2005
21,13,39,2017
1495,1,16,2007
329,2,6,2005
22,39,33,2011
81,19,40,2015
2026,23,10,2010
200,12,8,2016
437,17,32,2017
376,25,42,2008
2088,7,10,2018
31,49,31,2010
478,16,28,2013
366,45,9,2006
795,44,27,2012
3863,26,15,2006
16,11,30,2009
619,32,19,2007
2578,1,17,2013
424,20,2,2014
134,29,18,2012
364,8,42,2007
448,7,34,2018
481,6,42,2012
52,36,41,2006
303,28,12,2009
24,48,40,2007
85,33,36,2017
792,48,14,2014
1678,3,16,2014
9272,24,21,2008
543,16,9,2017
279,11,41,2014
30,1,35,2008
1613,19,25,2010
534,32,42,2010
349,39,20,2010
39,27,37,2018
229,33,28,2017
1428,3,26,2016
212,36,40,2010
6017,39,19,2014
120,18,44,2007
2581,22,34,2010
2243,13,16,2010
757,22,4,2013
355,3,25,2016
573,21,48,2005
428,33,12,2018
217,6,43,2015
186,42,43,2017
126,29,11,2012
26,47,49,2014
71,39,47,2005
709,41,20,2013
1908,3,34,2016
136,11,13,2017
345,47,31,2009
151,25,48,2013
25,37,14,2013
7,5,30,2011
97,26,27,2013
14,21,39,2013
198,34,36,2009
19,8,45,2017
218,37,34,2009
872,29,28,2006
52,31,37,2010
2892,45,22,2017
1163,17,6,2016
392,24,44,2017
1484,11,34,2005
202,3,8,2014
188,31,25,2015
2618,24,11,2010
44,31,39,2006
266,19,41,2009
1540,10,25,2011
818,19,15,2012
323,7,12,2008
85,18,27,2015
538,1,28,2016
312,15,42,2016
16,5,47,2014
396,18,28,2006
37,10,39,2012
583,21,43,2018
492,13,26,2012
387,34,23,2014
237,25,35,2018
96,22,14,2007
708,39,32,2014
1616,29,19,2012
109,41,38,2012
94,25,6,2017
1804,17,15,2010
2091,26,21,2007
43,43,30,2015
192,12,11,2012
190,4,33,2005
9,43,39,2011
42,37,27,2016
687,24,25,2012
245,16,23,2018
89,40,31,2015
1531,23,2,2008
446,18,47,2013
298,45,19,2014
38,42,39,2018
786,4,5,2009
1664,14,21,2017
32,16,33,2018
297,31,23,2009
45,49,6,2012
172,16,47,2018
726,10,19,2013
2190,47,28,2015
91,46,8,2007
279,19,5,2006
79,5,31,2013
521,17,16,2012
713,21,24,2007
548,26,23,2016
202,9,4,2013
1704,28,15,2016
164,37,13,2014
7,4,14,2005
9,41,49,2016
24,12,5,2018
217,48,19,2012
155,35,43,2018
374,34,37,2008
695,24,10,2014
3,31,36,2014
64,43,45,2009
2715,30,9,2018
29,4,30,2018
732,7,43,2007
47,28,14,2008
56,46,48,2006
2351,31,48,2005
287,9,28,2015
165,23,8,2014
141,35,17,2016
234,2,6,2012
167,11,6,2014
296,40,38,2008
41,49,31,2017
10,18,29,2011
309,36,39,2005
7754,26,20,2013
173,17,34,2011
463,13,25,2015
39,17,45,2016
719,20,2,2017
808,29,18,2005
72,1,11,2015
874,30,4,2010
45,26,9,2016
240,16,47,2010
1790,39,10,2015
83,8,48,2005
43,40,30,2005
297,1,37,2018
2665,40,36,2008
61,16,11,2014
446,4,34,2006
310,48,25,2010
175,16,13,2010
64,37,1,2018
379,34,47,2006
2425,11,15,2008
115,20,1,2015
225,33,28,2006
48,15,5,2016
220,25,7,2015
531,15,13,2011
418,7,27,2006
1218,8,15,2015
113,18,44,2014
9,48,39,2008
300,48,20,2017
992,26,41,2008
698,39,47,2012
781,30,43,2012
338,30,19,2011
380,39,5,2007
121,28,44,2010
265,26,27,2006
739,15,18,2007
1572,6,1,2009
172,4,43,2008
113,24,8,2009
92,39,22,2007
287,22,7,2012
817,19,4,2005
215,1,27,2014
988,24,11,2017
145,23,8,2009
483,29,28,2015
276,29,17,2015
215,47,36,2007
66,8,6,2011
189,40,20,2015
1927,28,43,2005
773,46,21,2007
836,18,4,2017
129,31,25,2006
182,44,2,2015
333,43,22,2007
300,12,18,2013
133,2,35,2009
139,31,8,2013
744,19,15,2007
573,14,10,2005
141,36,38,2015
411,27,48,2013
286,27,8,2012
181,36,12,2006
455,34,23,2007
187,25,35,2009
140,44,48,2006
684,39,32,2007
552,31,14,2008
482,10,8,2014
177,19,12,2013
132,42,36,2005
