Flow,O,D,Year
174,15,36,2005
25,36,1,2007
617,35,23,2015
320,4,17,2005
292,2,8,2010
505,28,25,2015
698,11,4,2008
238,3,42,2017
417,2,34,2009
666,41,28,2012
40,20,24,2011
23,20,35,2015
75,9,31,2007
631,46,34,2005
275,15,26,2015
1888,5,10,2015
1090,36,37,2011
19,23,33,2011
1017,34,22,2011
428,26,48,2006
229,48,25,2018
125,25,40,2005
173,25,20,2006
341,29,20,2007
1451,2,18,2014
185,30,26,2005
192,7,32,2005
95,32,48,2007
2655,24,22,2018
318,15,32,2017
1318,40,28,2007
790,9,24,2009
168,46,37,2014
1562,40,34,2014
144,4,26,2009
1701,45,12,2015
1478,7,47,2006
176,45,38,2018
131,43,27,2014
37,12,29,2006
7,32,14,2014
8,43,49,2005
1165,28,31,2016
37,36,46,2007
190,15,41,2008
108,48,37,2006
133,23,22,2012
162,22,6,2006
69,12,35,2012
7,20,40,2010
843,11,10,2010
140,2,44,2007
204,20,37,2018
173,20,22,2005
357,6,12,2012
68,9,17,2017
17,3,1,2017
720,18,7,2013
523,4,41,2006
60,48,36,2010
3087,40,10,2017
42,16,24,2009
39,34,38,2010
130,25,44,2010
28,1,5,2008
82,18,39,2009
193,7,46,2015
151,31,38,2016
213,9,18,2007
1089,49,2,2013
312,48,18,2005
808,7,15,2018
210,2,44,2016
1944,4,16,2011
717,33,49,2006
2085,24,9,2005
162,33,43,2013
2100,39,2,2009
58,19,13,2005
707,7,18,2011
4463,9,44,2013
3393,42,10,2005
239,15,27,2005
25,22,31,2015
250,23,43,2017
15,7,39,2018
24,8,3,2011
927,25,15,2016
11,15,39,2006
3527,48,43,2012
590,13,27,2010
192,3,7,2015
172,22,8,2016
624,31,12,2014
1088,28,7,2017
348,33,44,2006
210,29,15,2008
27,47,45,2009
595,42,28,2012
348,23,3,2017
186,20,30,2008
44,47,11,2012
186,5,8,2006
236,37,26,2010
483,46,9,2015
119,8,44,2016
628,23,32,2014
213,4,39,2012
1591,8,40,2014
121,37,48,2016
95,22,11,2008
604,34,10,2007
72,7,35,2006
2616,1,15,2010
1377,41,15,2012
64,29,48,2016
239,44,19,2010
5,36,11,2006
85,5,9,2018
91,8,26,2015
264,3,28,2011
609,20,34,2016
3,44,14,2011
38,16,45,2005
697,12,30,2009
297,2,47,2013
570,49,23,2016
91,7,24,2013
886,28,21,2015
346,44,19,2018
12,6,33,2009
402,39,41,2018
518,26,6,2007
1914,20,10,2016
795,3,10,2016
508,2,17,2007
582,34,3,2011
285,20,41,2015
9811,35,16,2017
217,29,31,2007
370,44,43,2018
963,10,4,2010
14,38,31,2013
281,47,1,2006
195,26,8,2012
420,14,6,2009
312,35,41,2015
1744,30,34,2015
907,45,20,2012
126,16,13,2016
1103,2,16,2013
784,24,46,2010
49,9,45,2007
737,7,41,2012
93,41,1,2010
1139,40,19,2016
32,49,1,2014
106,15,36,2014
13,36,1,2008
231,4,17,2014
361,48,25,2009
3432,12,44,2007
224,3,42,2014
861,36,32,2017
133,12,6,2009
424,16,18,2018
37,26,22,2006
173,6,43,2007
127,45,37,2005
773,36,8,2017
965,29,22,2006
251,2,27,2009
298,30,26,2012
85,32,48,2014
1321,24,22,2005
17,20,39,2005
140,9,24,2006
411,1,34,2011
7,19,24,2009
904,37,25,2005
46,20,40,2018
27,45,38,2011
2485,45,30,2010
423,17,28,2008
2013,31,48,2011
26,33,30,2009
96,2,26,2007
189,24,36,2008
56,41,14,2005
1654,28,20,2009
411,20,42,2017
254,15,41,2007
46,46,36,2013
54,23,22,2005
65,12,35,2005
68,4,9,2014
244,16,8,2015
285,9,26,2012
1204,44,15,2014
244,16,46,2006
248,3,32,2008
182,2,44,2014
47,39,11,2008
253,33,23,2016
382,18,7,2006
218,6,38,2014
22,47,6,2014
2249,40,10,2008
526,9,10,2016
617,41,21,2018
594,40,32,2015
394,14,43,2012
561,35,12,2014
501,4,8,2018
205,23,5,2007
172,11,37,2008
1428,30,44,2018
342,3,41,2017
1214,22,44,2013
972,42,47,2012
