O	D	Flow
17	34	298
17	46	395
17	16	914
17	21	312
17	49	108
17	39	114
17	10	2206
17	18	4620
17	9	38
17	28	324
17	47	138
17	31	71
17	26	218
17	41	159
17	6	622
17	37	377
17	8	50
17	7	275
17	48	88
17	1	1009
17	20	189
17	30	62
17	11	8
17	27	32
17	33	5
17	36	76
17	13	123
17	25	310
17	2	806
17	42	515
17	3	183
17	44	255
17	19	198
17	40	18
17	32	471
17	23	1785
17	15	1471
17	4	449
17	12	38
17	5	72
17	43	475
17	24	56
34	17	89
34	46	197
34	16	4394
34	21	1095
34	49	7
34	39	33
34	35	76
34	10	930
34	18	529
34	9	352
34	28	788
34	47	373
34	31	313
34	26	327
34	41	172
34	6	114
34	38	56
34	37	293
34	8	101
34	7	349
34	48	356
34	1	82
34	20	657
34	30	171
34	11	185
34	27	942
34	33	61
34	36	314
34	13	1215
34	25	529
34	2	422
34	45	110
34	42	516
34	3	459
34	44	901
34	19	461
34	40	68
34	32	199
34	14	95
34	23	136
34	15	1900
34	22	971
34	29	14
34	4	351
34	12	1892
34	5	62
34	43	342
34	24	191
46	17	1084
46	34	631
46	16	849
46	21	416
46	39	117
46	10	1129
46	18	403
46	28	872
46	47	77
46	31	277
46	26	480
46	41	553
46	6	986
46	38	86
46	37	185
46	8	32
46	7	250
46	48	93
46	1	641
46	20	2812
46	30	54
46	11	11
46	27	114
46	36	12
46	13	527
46	25	259
46	2	313
46	45	21
46	42	218
46	3	2308
46	44	486
46	19	251
46	32	68
46	23	1778
46	15	3303
46	22	26
46	4	132
46	12	233
46	5	19
46	43	339
46	24	60
16	17	81
16	34	2526
16	46	165
16	21	679
16	49	106
16	39	25
16	35	62
16	10	781
16	18	553
16	9	419
16	28	504
16	47	192
16	31	132
16	26	182
16	41	104
16	6	161
16	38	82
16	37	222
16	8	201
16	7	204
16	48	244
16	1	126
16	20	320
16	30	161
16	11	99
16	27	1504
16	33	36
16	36	209
16	13	338
16	25	497
16	2	401
16	45	38
16	42	296
16	3	228
16	44	1510
16	19	316
16	40	49
16	32	95
16	14	28
16	23	328
16	15	2003
16	22	479
16	29	7
16	4	430
16	12	1278
16	5	9
16	43	180
16	24	89
21	17	380
21	34	2280
21	46	396
21	16	2837
21	49	175
21	39	41
21	35	53
21	10	1585
21	18	691
21	9	480
21	28	871
21	47	241
21	31	463
21	26	802
21	41	182
21	6	155
21	38	172
21	37	243
21	8	130
21	7	453
21	48	573
21	1	215
21	20	649
21	30	439
21	11	536
21	27	406
21	33	5
21	36	230
21	13	1443
21	25	614
21	2	456
21	45	112
21	42	686
21	3	651
21	44	971
21	19	330
21	40	62
21	32	203
21	14	298
21	23	295
21	15	3124
21	22	967
21	29	83
21	4	712
21	12	1280
21	5	37
21	43	554
21	24	816
49	17	89
49	34	505
49	46	18
49	16	2025
49	21	157
49	39	3
49	35	72
49	10	3522
49	18	1028
49	9	70
49	28	269
49	47	142
49	31	46
49	26	205
49	41	111
49	6	64
49	38	603
49	37	389
49	8	2311
49	7	297
49	48	252
49	20	155
49	30	136
49	11	117
49	27	176
49	33	356
49	36	1311
49	13	129
49	25	2581
49	2	1199
49	45	106
49	42	420
49	3	53
49	44	104
49	19	1068
49	40	348
49	32	415
49	23	192
49	15	617
49	22	107
49	29	540
49	4	1000
49	12	265
49	43	145
39	17	625
39	34	266
39	16	897
39	21	136
39	49	206
39	35	396
39	10	1601
39	18	722
39	28	396
39	47	71
39	26	90
39	41	110
39	37	4925
39	8	141
39	7	116
39	1	238
39	30	44
39	11	60
39	27	96
39	36	1445
39	25	416
39	42	1136
39	19	8015
39	32	11
39	23	484
39	15	908
39	4	487
39	12	365
39	5	292
35	17	315
35	34	1952
35	16	5736
35	21	917
35	49	2481
35	10	3172
