O	D	Flow
17	34	377
17	46	559
17	16	863
17	21	268
17	49	103
17	10	2719
17	18	3107
17	9	35
17	28	268
17	47	324
17	31	154
17	26	196
17	41	807
17	6	539
17	38	16
17	37	310
17	8	76
17	7	455
17	48	52
17	1	1237
17	20	440
17	30	122
17	11	25
17	27	54
17	33	15
17	36	137
17	13	252
17	25	169
17	2	521
17	45	16
17	42	383
17	3	107
17	44	8
17	19	294
17	40	20
17	32	998
17	23	1554
17	15	1825
17	22	151
17	29	3
17	4	706
17	12	114
17	5	207
17	43	374
17	24	29
34	17	203
34	46	657
34	16	4981
34	21	2140
34	49	40
34	39	8
34	35	35
34	10	941
34	18	784
34	9	496
34	28	924
34	47	379
34	31	265
34	26	264
34	41	163
34	6	36
34	38	25
34	37	234
34	8	219
34	7	406
34	48	517
34	1	102
34	20	476
34	30	291
34	11	193
34	27	1032
34	33	121
34	36	333
34	13	1275
34	25	586
34	2	611
34	45	130
34	42	707
34	3	709
34	44	1260
34	19	375
34	40	131
34	32	353
34	14	144
34	23	481
34	15	2909
34	22	1169
34	29	71
34	4	512
34	12	1541
34	5	2
34	43	363
34	24	142
46	17	619
46	34	398
46	16	1269
46	21	305
46	39	69
46	35	59
46	10	1106
46	18	975
46	9	77
46	28	790
46	47	411
46	31	231
46	26	853
46	41	368
46	6	850
46	38	13
46	37	39
46	8	151
46	7	449
46	48	56
46	1	858
46	20	2772
46	11	124
46	27	228
46	33	56
46	36	71
46	13	134
46	25	113
46	2	564
46	45	17
46	42	431
46	3	2715
46	44	143
46	19	394
46	32	78
46	14	65
46	23	1231
46	15	5039
46	22	84
46	29	22
46	4	363
46	12	323
46	5	10
46	43	782
46	24	136
16	17	160
16	34	2290
16	46	244
16	21	932
16	49	73
16	39	8
16	35	71
16	10	741
16	18	660
16	9	362
16	28	410
16	47	197
16	31	181
16	26	218
16	41	146
16	6	141
16	38	30
16	37	273
16	8	310
16	7	257
16	48	267
16	1	73
16	20	334
16	30	92
16	11	138
16	27	1602
16	33	51
16	36	211
16	13	219
16	25	619
16	2	471
16	45	39
16	42	297
16	3	239
16	44	1374
16	19	289
16	40	48
16	32	109
16	14	41
16	23	287
16	15	2185
16	22	669
16	29	14
16	4	503
16	12	1421
16	5	27
16	43	116
16	24	32
21	17	229
21	34	1392
21	46	349
21	16	3147
21	49	130
21	39	31
21	35	26
21	10	1837
21	18	683
21	9	679
21	28	1169
21	47	253
21	31	375
21	26	1337
21	41	379
21	6	219
21	38	79
21	37	379
21	8	537
21	7	557
21	48	534
21	1	122
21	20	778
21	30	286
21	11	1040
21	27	1405
21	33	50
21	36	176
21	13	947
21	25	470
21	2	609
21	45	254
21	42	409
21	3	526
21	44	876
21	19	313
21	40	22
21	32	171
21	14	435
21	23	386
21	15	3734
21	22	683
21	29	186
21	4	622
21	12	1126
21	5	38
21	43	430
21	24	1283
49	17	59
49	34	388
49	46	13
49	16	1563
49	21	188
49	39	164
49	35	288
49	10	3908
49	18	1559
49	9	16
49	28	774
49	47	270
49	31	69
49	26	53
49	41	74
49	6	292
49	38	888
49	37	1029
49	8	3683
49	7	204
49	48	312
49	1	41
49	20	77
49	30	86
49	27	264
49	33	719
49	36	802
49	13	46
49	25	4593
49	2	1398
49	45	15
49	42	274
49	3	77
49	44	74
49	19	1036
49	40	831
49	32	678
49	14	6
49	23	162
49	15	805
49	22	166
49	29	477
49	4	1311
49	12	429
49	5	90
49	43	164
49	24	9
39	17	435
39	34	654
39	46	97
39	16	1488
39	21	383
39	49	177
39	35	2750
39	10	1873
39	18	2313
39	28	511
39	47	200
39	31	170
39	26	865
39	41	42
39	6	518
39	37	5137
39	8	115
39	7	106
39	48	41
39	1	14
39	30	444
39	11	56
39	27	203
39	36	2590
39	13	125
39	25	1918
39	2	492
39	42	2381
39	3	12
39	19	6602
39	40	90
39	32	401
39	23	66
39	15	247
39	4	1103
39	12	124
39	5	372
35	17	404
35	34	581
35	46	535
35	16	3377
35	21	624
35	49	469
35	39	38
35	10	2214
35	18	3073
35	9	373
35	28	2637
35	31	107
35	26	158
35	41	287
35	6	877
35	37	36822
35	8	1701
35	7	251
35	48	143
35	1	246
35	20	803
35	30	143
35	11	294
35	27	264
35	33	156
35	36	1885
35	13	609
35	25	6513
35	2	5082
35	42	1093
35	44	1229
35	19	3048
35	40	135
35	32	1521
35	23	641
35	15	1667
35	29	657
35	4	17874
35	12	226
35	5	540
35	43	515
35	24	161
10	17	1021
10	34	406
10	46	194
10	16	1443
10	21	547
10	49	371
10	39	85
10	35	47
10	18	3989
10	9	75
10	28	916
10	47	555
10	31	131
10	26	121
10	41	579
10	6	257
10	38	245
10	37	422
10	8	513
10	7	728
10	48	211
10	1	223
10	20	446
10	30	97
10	11	115
10	27	252
10	33	227
10	36	516
10	13	197
10	25	1634
10	2	2178
10	45	27
10	42	1204
10	3	194
10	44	207
10	19	999
10	40	65
10	32	920
10	14	12
10	23	1513
10	15	2115
10	22	149
10	29	121
10	4	978
10	12	394
10	5	182
10	43	342
10	24	36
18	17	2177
18	34	317
18	46	163
18	16	1378
18	21	312
18	49	133
18	39	100
18	35	94
18	10	3570
18	9	11
18	28	396
18	47	412
18	31	51
18	26	322
18	41	540
18	6	457
18	37	390
18	8	222
18	7	382
18	48	147
18	1	317
18	20	404
18	30	30
18	11	92
18	27	180
18	33	28
18	36	370
18	13	139
18	25	746
18	2	1668
18	45	27
18	42	697
18	3	159
18	44	214
18	19	438
18	40	37
18	32	1853
18	14	25
18	23	1427
18	15	1712
18	22	78
18	29	45
18	4	773
18	12	328
18	5	129
18	43	180
18	24	1
9	17	33
9	34	2971
9	46	249
9	16	4129
9	21	845
9	35	82
9	10	864
9	18	290
9	28	1317
9	47	231
9	31	208
9	26	27
9	41	168
9	6	199
9	37	141
9	8	118
9	7	323
